phi,psi,number
83.212,180,0.001
83.483,179.483,0.001
84,178.247,0.001
84.103,178.103,0.001
84.148,178,0.001
84.264,177.736,0.001
84.758,176.758,0.001
85.018,176,0.001
85.303,175.303,0.001
85.678,174.322,0.001
85.805,174,0.001
85.861,173.861,0.001
86,173.518,0.001
86.562,172.562,0.001
86.786,172,0.001
87.143,171.143,0.001
87.336,170.664,0.001
87.608,170,0.001
87.735,169.735,0.001
88,169.115,0.001
88.405,168.405,0.001
88.554,168,0.001
88.793,167.207,0.001
88.901,166.901,0.001
89.135,166,0.001
89.273,165.273,0.001
89.438,164.562,0.001
89.553,164,0.001
89.602,163.602,0.001
89.752,162.248,0.001
89.782,162,0.001
89.782,161.782,0.001
89.806,160.194,0.001
89.807,160,0.001
89.786,159.786,0.001
89.664,158.336,0.001
89.63,158,0.001
89.57,157.57,0.001
89.432,156.568,0.001
89.353,156,0.001
89.213,155.213,0.001
89.152,154.848,0.001
88.997,154,0.001
88.84,153.16,0.001
88.743,152.743,0.001
88.594,152,0.001
88.513,151.487,0.001
88.162,150.162,0.001
88.131,150,0.001
88.114,149.886,0.001
88,149.46,0.001
87.727,148.273,0.001
87.667,148,0.001
87.606,147.606,0.001
87.489,146.511,0.001
87.401,146,0.001
87.316,145.316,0.001
87.27,144.73,0.001
87.17,144,0.001
87.082,143.082,0.001
87.068,142.932,0.001
86.978,142,0.001
86.875,141.125,0.001
86.835,140.835,0.001
86.734,140,0.001
86.625,139.375,0.001
86.444,138.444,0.001
86.364,138,0.001
86.297,137.703,0.001
86,136.847,0.001
85.741,136.259,0.001
85.625,136,0.001
85.303,135.303,0.001
85.112,134.888,0.001
84.697,134,0.001
84.428,133.572,0.001
84,133.046,0.001
83.443,132.557,0.001
82.972,132,0.001
82.522,131.478,0.001
82,131.028,0.001
81.25,130.75,0.001
80.369,130.369,0.001
80,130.22,0.001
79.741,130.259,0.001
78.47,130.47,0.001
78,130.539,0.001
77.176,131.176,0.001
76.326,132,0.001
76.166,132.166,0.001
76,132.29,0.001
75.276,133.276,0.001
74.801,134,0.001
74.48,134.48,0.001
74,135.063,0.001
73.648,135.648,0.001
73.492,136,0.001
73.101,136.899,0.001
73.041,137.041,0.001
72.604,138,0.001
72.393,138.393,0.001
72,138.994,0.001
71.642,139.642,0.001
71.505,140,0.001
71.169,140.831,0.001
71.073,141.073,0.001
70.686,142,0.001
70.447,142.447,0.001
70,143.178,0.001
69.71,143.71,0.001
69.608,144,0.001
69.148,144.852,0.001
69.042,145.042,0.001
68.56,146,0.001
68.342,146.342,0.001
68,146.87,0.001
67.543,147.543,0.001
67.35,148,0.001
66.866,148.866,0.001
66.598,149.402,0.001
66.288,150,0.001
66.157,150.157,0.001
66,150.378,0.001
65.297,151.297,0.001
64.986,152,0.001
64.589,152.589,0.001
64,153.62,0.001
63.824,153.824,0.001
63.741,154,0.001
63.485,154.515,0.001
63.135,155.135,0.001
62.805,156,0.001
62.511,156.511,0.001
62,157.592,0.001
61.828,157.828,0.001
61.755,158,0.001
61.592,158.408,0.001
61.214,159.214,0.001
60.964,160,0.001
60.671,160.671,0.001
60.396,161.604,0.001
60.254,162,0.001
60.19,162.19,0.001
60,162.793,0.001
59.601,163.601,0.001
59.476,164,0.001
59.282,164.718,0.001
59.142,165.142,0.001
58.947,166,0.001
58.751,166.751,0.001
58.652,167.348,0.001
58.506,168,0.001
58.427,168.427,0.001
58.197,169.803,0.001
58.162,170,0.001
58.14,170.14,0.001
58,171.028,0.001
57.793,171.793,0.001
57.755,172,0.001
57.732,172.268,0.001
57.592,173.592,0.001
57.559,174,0.001
57.537,174.463,0.001
57.49,175.49,0.001
57.465,176,0.001
57.437,176.563,0.001
57.389,177.389,0.001
57.359,178,0.001
57.264,178.736,0.001
57.191,179.191,0.001
57.094,180,0.001

