phi,psi,number
-59.935,180,0.02
-59.872,179.872,0.02
-59.249,178.751,0.02
-58.965,178,0.02
-58.645,177.355,0.02
-58.221,176.221,0.02
-58.128,176,0.02
-58.086,175.914,0.02
-58,175.68,0.02
-57.393,174.607,0.02
-57.162,174,0.02
-56.79,173.21,0.02
-56.555,172.555,0.02
-56.331,172,0.02
-56.224,171.776,0.02
-56,171.122,0.02
-55.609,170.391,0.02
-55.47,170,0.02
-54.998,169.002,0.02
-54.996,168.996,0.02
-54.605,168,0.02
-54.409,167.591,0.02
-54,166.388,0.02
-53.857,166.143,0.02
-53.802,166,0.02
-53.633,165.633,0.02
-53.2,164.8,0.02
-52.907,164,0.02
-52.631,163.369,0.02
-52.291,162.291,0.02
-52.184,162,0.02
-52.128,161.872,0.02
-52,161.454,0.02
-51.516,160.484,0.02
-51.352,160,0.02
-50.939,159.061,0.02
-50.882,158.882,0.02
-50.554,158,0.02
-50.37,157.63,0.02
-50,156.542,0.02
-49.803,156.197,0.02
-49.729,156,0.02
-49.362,155.362,0.02
-49.082,154.918,0.02
-48.673,154,0.02
-48.418,153.582,0.02
-48,152.579,0.02
-47.761,152.239,0.02
-47.658,152,0.02
-47.187,151.187,0.02
-47.042,150.958,0.02
-46.612,150,0.02
-46.396,149.604,0.02
-46,148.505,0.02
-45.808,148.192,0.02
-45.733,148,0.02
-45.479,147.479,0.02
-45.138,146.862,0.02
-44.812,146,0.02
-44.552,145.448,0.02
-44.095,144.095,0.02
-44.057,144,0.02
-44.038,143.962,0.02
-44,143.852,0.02
-43.322,142.678,0.02
-43.053,142,0.02
-42.692,141.308,0.02
-42.318,140.318,0.02
-42.181,140,0.02
-42.12,139.88,0.02
-42,139.56,0.02
-41.401,138.599,0.02
-41.146,138,0.02
-40.791,137.209,0.02
-40.583,136.583,0.02
-40.36,136,0.02
-40.272,135.728,0.02
-40,134.66,0.02
-39.8,134.2,0.02
-39.736,134,0.02
-39.642,133.642,0.02
-39.345,132.655,0.02
-39.191,132,0.02
-39.048,131.048,0.02
-39.034,130.966,0.02
-38.893,130,0.02
-38.877,129.123,0.02
-38.867,128.867,0.02
-38.85,128,0.02
-38.977,127.023,0.02
-38.981,126.981,0.02
-39.119,126,0.02
-39.296,125.296,0.02
-39.615,124.385,0.02
-39.728,124,0.02
-39.801,123.801,0.02
-40,123.404,0.02
-40.371,122.371,0.02
-40.58,122,0.02
-41.102,121.102,0.02
-41.806,120.194,0.02
-41.951,120,0.02
-41.97,119.97,0.02
-42,119.941,0.02
-42.84,118.84,0.02
-43.787,118,0.02
-43.887,117.887,0.02
-44,117.802,0.02
-44.914,116.914,0.02
-45.389,116.611,0.02
-46,116.19,0.02
-46.101,116.101,0.02
-46.273,116,0.02
-47.225,115.225,0.02
-48,114.781,0.02
-48.462,114.462,0.02
-49.473,114,0.02
-49.786,113.786,0.02
-50,113.684,0.02
-50.864,113.136,0.02
-51.026,113.026,0.02
-52,112.54,0.02
-52.34,112.34,0.02
-53.149,112,0.02
-53.671,111.671,0.02
-54,111.525,0.02
-54.983,110.983,0.02
-55.041,110.959,0.02
-56,110.523,0.02
-56.362,110.362,0.02
-57.385,110,0.02
-57.791,109.791,0.02
-58,109.712,0.02
-58.477,109.523,0.02
-59.205,109.205,0.02
-60,108.928,0.02
-60.717,108.717,0.02
-61.482,108.518,0.02
-62,108.374,0.02
-62.313,108.313,0.02
-63.875,108,0.02
-63.972,107.972,0.02
-64,107.965,0.02
-64.045,107.955,0.02
-65.643,107.643,0.02
-66,107.565,0.02
-66.528,107.472,0.02
-67.359,107.359,0.02
-68,107.235,0.02
-68.87,107.13,0.02
-69.114,107.114,0.02
-70,106.994,0.02
-70.88,106.88,0.02
-71.18,106.82,0.02
-72,106.7,0.02
-72.616,106.616,0.02
-73.601,106.399,0.02
-74,106.336,0.02
-74.277,106.277,0.02
-75.219,106,0.02
-75.783,105.783,0.02
-76,105.672,0.02
-76.823,105.177,0.02
-77.049,105.049,0.02
-78,104.363,0.02
-78.202,104.202,0.02
-78.422,104,0.02
-79.158,103.158,0.02
-80,102.056,0.02
-80.024,102.024,0.02
-80.041,102,0.02
-80.127,101.873,0.02
-80.828,100.828,0.02
-81.395,100,0.02
-81.631,99.631,0.02
-82,99.085,0.02
-82.477,98.477,0.02
-82.89,98,0.02
-83.369,97.369,0.02
-84,96.608,0.02
-84.315,96.315,0.02
-84.752,96,0.02
-85.466,95.466,0.02
-86,95.138,0.02
-86.843,94.843,0.02
-87.29,94.71,0.02
-88,94.48,0.02
-88.487,94.487,0.02
-89.441,94.559,0.02
-90,94.565,0.02
-90.804,94.804,0.02
-91.099,94.901,0.02
-92,95.145,0.02
-92.619,95.381,0.02
-93.801,95.801,0.02
-94,95.874,0.02
-94.079,95.921,0.02
-94.218,96,0.02
-95.384,96.616,0.02
-96,96.916,0.02
-96.719,97.281,0.02
-97.871,97.871,0.02
-98,97.937,0.02
-98.039,97.961,0.02
-98.103,98,0.02
-99.298,98.702,0.02
-100,99.105,0.02
-100.565,99.435,0.02
-101.561,100,0.02
-101.844,100.156,0.02
-102,100.245,0.02
-102.62,100.62,0.02
-103.095,100.905,0.02
-104,101.468,0.02
-104.324,101.676,0.02
-104.795,102,0.02
-105.527,102.473,0.02
-106,102.782,0.02
-106.742,103.258,0.02
-107.862,104,0.02
-107.948,104.052,0.02
-108,104.088,0.02
-108.291,104.291,0.02
-109.129,104.871,0.02
-110,105.496,0.02
-110.297,105.703,0.02
-110.679,106,0.02
-111.47,106.53,0.02
-112,106.898,0.02
