phi,psi,number
53.131,-180,0.001
52.765,-179.235,0.001
52.668,-178.668,0.001
52.459,-178,0.001
52.297,-177.703,0.001
52.008,-176.008,0.001
52.005,-176,0.001
52.003,-175.997,0.001
52,-175.986,0.001
51.084,-174.916,0.001
50.676,-174,0.001
50.413,-173.587,0.001
50.009,-172.009,0.001
50.006,-172,0.001
50.003,-171.997,0.001
50,-171.986,0.001
49.051,-170.949,0.001
48.633,-170,0.001
48.398,-169.602,0.001
48.01,-168.01,0.001
48.006,-168,0.001
48.004,-167.996,0.001
48,-167.984,0.001
47.094,-166.906,0.001
46.722,-166,0.001
46.491,-165.509,0.001
46.235,-164.235,0.001
46.159,-164,0.001
46.102,-163.898,0.001
46,-163.497,0.001
45.361,-162.639,0.001
45.082,-162,0.001
44.663,-161.337,0.001
44.46,-160.46,0.001
44.284,-160,0.001
44.179,-159.821,0.001
44,-159.278,0.001
43.429,-158.571,0.001
43.172,-158,0.001
42.732,-157.268,0.001
42.575,-156.575,0.001
42.36,-156,0.001
42.232,-155.768,0.001
42,-154.781,0.001
41.693,-154.307,0.001
41.562,-154,0.001
40.888,-153.112,0.001
40.805,-152.805,0.001
40.46,-152,0.001
40.295,-151.705,0.001
40,-150.301,0.001
39.883,-150.117,0.001
39.825,-150,0.001
38.932,-149.068,0.001
38.865,-148.865,0.001
38.439,-148,0.001
38.273,-147.727,0.001
38,-146.791,0.001
37.645,-146.355,0.001
37.429,-146,0.001
36.678,-145.322,0.001
36.242,-144.242,0.001
36.108,-144,0.001
36.061,-143.939,0.001
36,-143.806,0.001
35.12,-142.88,0.001
34.65,-142,0.001
34.391,-141.609,0.001
34,-140.309,0.001
33.872,-140.128,0.001
33.803,-140,0.001
32.914,-139.086,0.001
32.829,-138.829,0.001
32.418,-138,0.001
32.28,-137.72,0.001
32,-136.709,0.001
31.699,-136.301,0.001
31.557,-136,0.001
30.918,-135.082,0.001
30.867,-134.867,0.001
30.522,-134,0.001
30.403,-133.597,0.001
30.128,-132.128,0.001
30.096,-132,0.001
30.082,-131.918,0.001
30,-131.068,0.001
29.792,-130.208,0.001
29.749,-130,0.001
29.705,-129.705,0.001
29.483,-128.517,0.001
29.414,-128,0.001
29.414,-127.414,0.001
29.414,-126.586,0.001
29.414,-126,0.001
29.462,-125.462,0.001
29.655,-124.345,0.001
29.691,-124,0.001
29.726,-123.726,0.001
30,-122.147,0.001
30.01,-122.01,0.001
30.011,-122,0.001
30.015,-121.985,0.001
30.314,-120.314,0.001
30.409,-120,0.001
30.651,-119.349,0.001
30.759,-118.759,0.001
31.286,-118,0.001
31.514,-117.514,0.001
32,-116.784,0.001
32.177,-116.177,0.001
32.282,-116,0.001
32.672,-115.328,0.001
32.867,-114.867,0.001
33.976,-114,0.001
33.986,-113.986,0.001
34,-113.973,0.001
34.661,-112.661,0.001
35.741,-112,0.001
35.861,-111.861,0.001
36,-111.748,0.001
36.687,-110.687,0.001
37.959,-110.041,0.001
