phi,psi,number
-46.872,180,0.002
-46.476,179.524,0.002
-46,178.692,0.002
-45.539,178.461,0.002
-45.308,178,0.002
-44.872,177.128,0.002
-44.872,176.872,0.002
-44.654,176,0.002
-44.436,175.564,0.002
-44,174.692,0.002
-43.605,174.395,0.002
-43.308,174,0.002
-42.872,173.128,0.002
-42.872,172.872,0.002
-42.654,172,0.002
-42.436,171.564,0.002
-42,170.692,0.002
-41.605,170.395,0.002
-41.308,170,0.002
-40.872,169.128,0.002
-40.872,168.872,0.002
-40.654,168,0.002
-40.476,167.524,0.002
-40.176,166.176,0.002
-40.123,166,0.002
-40.088,165.912,0.002
-40,165.692,0.002
-39.248,164.752,0.002
-38.872,164,0.002
-38.747,163.253,0.002
-38.747,162.747,0.002
-38.654,162,0.002
-38.436,161.564,0.002
-38,160.692,0.002
-37.654,160.346,0.002
-37.539,160,0.002
-37.308,159.308,0.002
-37.154,158.846,0.002
-36.872,158,0.002
-36.747,157.253,0.002
-36.747,156.747,0.002
-36.654,156,0.002
-36.654,155.346,0.002
-36.654,154.654,0.002
-36.654,154,0.002
-36.523,153.477,0.002
-36.523,152.523,0.002
-36.436,152,0.002
-36.436,151.564,0.002
-36.436,150.436,0.002
-36.436,150,0.002
-36.402,149.598,0.002
-36.137,148.137,0.002
-36.123,148,0.002
-36.123,147.877,0.002
-36.123,146.123,0.002
-36.123,146,0.002
-36.137,145.863,0.002
-36.402,144.402,0.002
-36.436,144,0.002
-36.523,143.477,0.002
-36.523,142.523,0.002
-36.654,142,0.002
-36.747,141.253,0.002
-36.747,140.747,0.002
-36.872,140,0.002
-36.872,139.128,0.002
-36.872,138.872,0.002
-36.872,138,0.002
-37.323,137.323,0.002
-38,136.872,0.002
-38.402,136.402,0.002
-38.654,136,0.002
-38.747,135.253,0.002
-38.747,134.747,0.002
-38.872,134,0.002
-39.154,133.154,0.002
-40,132.308,0.002
-40.112,132.112,0.002
-40.205,132,0.002
-40.308,131.692,0.002
-40.654,130.654,0.002
-40.872,130,0.002
-41.323,129.323,0.002
-42,128.872,0.002
-42.436,128.436,0.002
-42.872,128,0.002
-43.248,127.248,0.002
-44,126.872,0.002
-44.436,126.436,0.002
-44.872,126,0.002
-45.248,125.248,0.002
-46,124.872,0.002
-46.436,124.436,0.002
-46.872,124,0.002
-47.248,123.248,0.002
-48,122.872,0.002
-48.436,122.436,0.002
-48.872,122,0.002
-49.154,121.154,0.002
-50,120.308,0.002
-50.123,120.123,0.002
-50.205,120,0.002
-50.411,119.589,0.002
-50.747,118.747,0.002
-51.308,118,0.002
-51.539,117.539,0.002
-52,117.308,0.002
-52.581,116.581,0.002
-52.872,116,0.002
-53.248,115.248,0.002
-54,114.872,0.002
-54.402,114.402,0.002
-54.654,114,0.002
-54.872,113.128,0.002
-54.872,112.872,0.002
-55.308,112,0.002
-55.605,111.605,0.002
