phi,psi,number
-97.666,77.666,0.001
-98,77.381,0.001
-98.619,76.619,0.001
-99.325,76,0.001
-99.598,75.598,0.001
-100,75.157,0.001
-100.437,74.437,0.001
-100.925,74,0.001
-101.284,73.284,0.001
-101.686,72.314,0.001
-101.826,72,0.001
-101.867,71.867,0.001
-102,71.595,0.001
-102.358,70.358,0.001
-102.532,70,0.001
-102.75,69.25,0.001
-102.83,68.83,0.001
-103.153,68,0.001
-103.374,67.374,0.001
-103.737,66.263,0.001
-103.826,66,0.001
-103.85,65.85,0.001
-104,65.189,0.001
-104.14,64.14,0.001
-104.162,64,0.001
-104.188,63.812,0.001
-104.329,62.329,0.001
-104.378,62,0.001
-104.393,61.607,0.001
-104.45,60.45,0.001
-104.467,60,0.001
-104.461,59.539,0.001
-104.461,58.461,0.001
-104.456,58,0.001
-104.456,57.544,0.001
-104.456,56.456,0.001
-104.456,56,0.001
-104.478,55.522,0.001
-104.478,54.478,0.001
-104.504,54,0.001
-104.571,53.429,0.001
-104.636,52.636,0.001
-104.718,52,0.001
-104.867,51.133,0.001
-104.89,50.89,0.001
-105.074,50,0.001
-105.232,49.232,0.001
-105.301,48.699,0.001
-105.428,48,0.001
-105.504,47.504,0.001
-105.797,46.203,0.001
-105.832,46,0.001
-105.857,45.857,0.001
-106,45.392,0.001
-106.275,44.275,0.001
-106.412,44,0.001
-106.602,43.398,0.001
-106.759,42.759,0.001
-107.052,42,0.001
-107.255,41.255,0.001
-107.595,40.405,0.001
-107.73,40,0.001
-107.805,39.805,0.001
-108,39.189,0.001
-108.291,38.291,0.001
-108.446,38,0.001
-108.714,37.286,0.001
-108.881,36.881,0.001
-109.174,36,0.001
-109.381,35.381,0.001
-110,34.348,0.001
-110.143,34.143,0.001
-110.261,34,0.001
-110.482,33.518,0.001
-110.818,32.818,0.001
-111.164,32,0.001
-111.413,31.413,0.001
-112,30.448,0.001
-112.196,30.196,0.001
-112.314,30,0.001
-113.063,29.063,0.001
-114,28.126,0.001
-114.071,28.071,0.001
-114.126,28,0.001
-114.325,27.675,0.001
-114.794,26.794,0.001
-115.523,26,0.001
-115.74,25.74,0.001
-116,25.427,0.001
-116.751,24.751,0.001
-117.675,24.325,0.001
-118,24.142,0.001
-118.108,24.108,0.001
-118.379,24,0.001
-119.351,23.351,0.001
-120,22.784,0.001
-120.482,22.482,0.001
-121.518,22.482,0.001
-122,22.348,0.001
-122.33,22.33,0.001
-123.67,22.33,0.001
-124,22.314,0.001
-124.314,22.314,0.001
-125.686,22.314,0.001
-126,22.314,0.001
-126.33,22.33,0.001
-127.67,22.33,0.001
-128,22.348,0.001
-128.482,22.482,0.001
-129.269,22.731,0.001
-130,22.914,0.001
-130.724,23.276,0.001
-131.827,23.827,0.001
-132,23.914,0.001
-132.064,23.936,0.001
-132.216,24,0.001
-133.524,24.476,0.001
-134,24.595,0.001
-134.937,25.063,0.001
-135.189,25.189,0.001
-136,25.595,0.001
-136.27,25.73,0.001
-136.811,26,0.001
-137.592,26.408,0.001
-138,26.595,0.001
-138.823,27.177,0.001
-139.874,28,0.001
-139.951,28.049,0.001
-140,28.081,0.001
-140.175,28.175,0.001
-141.219,28.781,0.001
-142,29.126,0.001
-142.583,29.417,0.001
-143.351,30,0.001
-143.72,30.28,0.001
-144,30.51,0.001
-144.818,31.182,0.001
-145.739,32,0.001
-145.908,32.092,0.001
-146,32.209,0.001
-146.784,32.784,0.001
-147.033,32.967,0.001
-148,33.676,0.001
-148.177,33.823,0.001
-148.374,34,0.001
-149.35,34.65,0.001
-150,35.112,0.001
-150.527,35.473,0.001
-151.205,36,0.001
-151.699,36.301,0.001
-152,36.619,0.001
-152.888,37.112,0.001
-153.392,37.392,0.001
-154,37.73,0.001
-154.157,37.843,0.001
-154.347,38,0.001
-155.32,38.68,0.001
-156,39.157,0.001
-156.511,39.489,0.001
-157.205,40,0.001
-157.718,40.282,0.001
-158,40.586,0.001
-158.911,41.089,0.001
-159.351,41.351,0.001
-160,41.73,0.001
-160.168,41.832,0.001
-160.405,42,0.001
-161.49,42.51,0.001
-162,42.87,0.001
-162.802,43.198,0.001
-163.558,43.558,0.001
-164,43.757,0.001
-164.157,43.843,0.001
-164.405,44,0.001
-165.437,44.563,0.001
-166,44.957,0.001
-166.684,45.316,0.001
-167.739,46,0.001
-167.915,46.085,0.001
-168,46.174,0.001
-168.392,46.392,0.001
-169.162,46.838,0.001
-170,47.257,0.001
-170.425,47.575,0.001
-170.874,48,0.001
-171.483,48.517,0.001
-172,49.007,0.001
-172.547,49.453,0.001
-173.11,50,0.001
-173.591,50.409,0.001
-174,50.946,0.001
-174.511,51.489,0.001
-174.937,52,0.001
-175.476,52.524,0.001
-176,53.126,0.001
-176.437,53.563,0.001
-176.782,54,0.001
-177.216,54.784,0.001
-177.849,55.849,0.001
-177.937,56,0.001
-177.968,56.032,0.001
-178,56.103,0.001
-178.707,57.293,0.001
-179.043,58,0.001
-179.373,58.627,0.001
-179.909,59.909,0.001
-179.951,60,0.001
-179.969,60.031,0.001
-180,60.126,0.001


