phi,psi,number
180,180,0.02
180,133.432,0.02
179.573,133.573,0.02
178.46,134,0.02
178.106,134.106,0.02
178,134.152,0.02
177.777,134.223,0.02
176.579,134.579,0.02
176,134.778,0.02
175.02,135.02,0.02
174.961,135.039,0.02
174,135.31,0.02
173.42,135.42,0.02
172.337,135.663,0.02
172,135.731,0.02
171.766,135.766,0.02
170.14,136,0.02
170.015,136.015,0.02
170,136.017,0.02
169.982,136.018,0.02
168.172,136.172,0.02
168,136.186,0.02
167.796,136.204,0.02
166.331,136.331,0.02
166,136.36,0.02
165.62,136.38,0.02
164.457,136.457,0.02
164,136.481,0.02
163.521,136.479,0.02
162.484,136.484,0.02
162,136.482,0.02
161.554,136.446,0.02
160.354,136.354,0.02
160,136.326,0.02
159.711,136.289,0.02
158.035,136.035,0.02
158,136.03,0.02
157.975,136.025,0.02
157.857,136,0.02
156.362,135.638,0.02
156,135.536,0.02
155.26,135.26,0.02
154.878,135.122,0.02
154,134.785,0.02
153.479,134.521,0.02
152.5,134,0.02
152.195,133.805,0.02
152,133.679,0.02
151.014,132.986,0.02
150.916,132.916,0.02
150,132.258,0.02
149.85,132.15,0.02
149.637,132,0.02
148.734,131.266,0.02
148,130.654,0.02
147.651,130.349,0.02
147.226,130,0.02
146.61,129.39,0.02
146,128.796,0.02
145.592,128.408,0.02
145.123,128,0.02
144.565,127.435,0.02
144,126.871,0.02
143.572,126.428,0.02
143.102,126,0.02
142.551,125.449,0.02
142,124.91,0.02
141.546,124.454,0.02
141.035,124,0.02
140.476,123.524,0.02
140,123.14,0.02
139.356,122.644,0.02
138.488,122,0.02
138.202,121.798,0.02
138,121.662,0.02
137.23,121.23,0.02
136.934,121.066,0.02
136,120.526,0.02
135.645,120.355,0.02
134.864,120,0.02
134.267,119.733,0.02
134,119.613,0.02
133.382,119.382,0.02
132.821,119.179,0.02
132,118.859,0.02
131.389,118.611,0.02
130.1,118,0.02
130.033,117.967,0.02
130,117.951,0.02
129.902,117.902,0.02
128.668,117.332,0.02
128,116.949,0.02
127.46,116.54,0.02
126.789,116,0.02
126.38,115.62,0.02
126,115.237,0.02
125.424,114.576,0.02
124.975,114,0.02
124.597,113.403,0.02
124,112.32,0.02
123.89,112.11,0.02
123.831,112,0.02
123.65,111.65,0.02
123.193,110.807,0.02
122.816,110,0.02
122.57,109.43,0.02
122,108.039,0.02
121.989,108.011,0.02
121.984,108,0.02
121.97,107.97,0.02
121.339,106.661,0.02
121.032,106,0.02
120.715,105.285,0.02
120.306,104.306,0.02
120.175,104,0.02
120.117,103.883,0.02
120,103.646,0.02
119.441,102.559,0.02
119.152,102,0.02
118.766,101.234,0.02
118.341,100.341,0.02
118.175,100,0.02
118.113,99.887,0.02
118,99.686,0.02
117.35,98.65,0.02
116.951,98,0.02
116.609,97.391,0.02
116,96.22,0.02
115.918,96.082,0.02
115.865,96,0.02
115.432,95.432,0.02
115.055,94.945,0.02
114.41,94,0.02
114.24,93.76,0.02
114,93.453,0.02
113.29,92.71,0.02
112.673,92,0.02
112.345,91.655,0.02
112,91.319,0.02
111.256,90.744,0.02
110.389,90,0.02
110.168,89.832,0.02
110,89.713,0.02
109.388,89.388,0.02
108.866,89.134,0.02
108,88.574,0.02
107.587,88.413,0.02
106.643,88,0.02
106.164,87.836,0.02
106,87.775,0.02
105.719,87.719,0.02
104.454,87.546,0.02
104,87.438,0.02
103.457,87.457,0.02
102.426,87.574,0.02
102,87.591,0.02
101.682,87.682,0.02
100.848,88,0.02
100.321,88.321,0.02
100,88.639,0.02
99.514,89.514,0.02
99.304,90,0.02
98.991,90.991,0.02
98.986,91.014,0.02
98.714,92,0.02
