phi,psi,number
71.216,88,0.001
71.784,87.784,0.001
72,87.686,0.001
72.992,86.992,0.001
73.027,86.973,0.001
74,86.405,0.001
74.278,86.278,0.001
74.695,86,0.001
75.446,85.446,0.001
76,85.086,0.001
76.604,84.604,0.001
77.207,84,0.001
77.58,83.58,0.001
78,83.207,0.001
78.604,82.604,0.001
79.086,82,0.001
79.446,81.446,0.001
80,80.695,0.001
80.27,80.27,0.001
80.405,80,0.001
80.811,79.189,0.001
80.937,78.937,0.001
81.405,78,0.001
81.592,77.592,0.001
82,76.811,0.001
82.256,76.256,0.001
82.347,76,0.001
82.463,75.537,0.001
82.725,74.725,0.001
82.874,74,0.001
82.959,73.041,0.001
82.964,72.964,0.001
83.054,72,0.001
83.159,71.159,0.001
83.205,70.795,0.001
83.304,70,0.001
83.345,69.345,0.001
83.391,68.609,0.001
83.429,68,0.001
83.411,67.411,0.001
83.364,66.636,0.001
83.345,66,0.001
83.258,65.258,0.001
83.168,64.832,0.001
83.089,64,0.001
82.994,63.006,0.001
82.993,62.993,0.001
82.898,62,0.001
82.786,61.214,0.001
82.743,60.743,0.001
82.646,60,0.001
82.522,59.478,0.001
82.06,58.06,0.001
82.043,58,0.001
82.033,57.967,0.001
82,57.856,0.001
81.595,56.405,0.001
81.414,56,0.001
81.205,55.205,0.001
81.102,54.898,0.001
80.907,54,0.001
80.684,53.316,0.001
80.335,52.335,0.001
80.221,52,0.001
80.159,51.841,0.001
80,51.392,0.001
79.672,50.328,0.001
79.443,50,0.001
79.143,49.143,0.001
79.064,48.936,0.001
78.767,48,0.001
78.519,47.481,0.001
78,46.314,0.001
77.92,46.08,0.001
77.869,46,0.001
77.759,45.759,0.001
77.299,44.701,0.001
76.948,44,0.001
76.614,43.386,0.001
76,42.261,0.001
75.915,42.085,0.001
75.826,42,0.001
75.608,41.608,0.001
75.162,40.838,0.001
74.743,40,0.001
74.425,39.575,0.001
74,39.126,0.001
73.468,38.532,0.001
72.937,38,0.001
72.489,37.511,0.001
72,37.063,0.001
71.483,36.517,0.001
70.937,36,0.001
70.468,35.532,0.001
70,35.157,0.001
69.32,34.68,0.001
68.347,34,0.001
68.15,33.85,0.001
68,33.757,0.001
67.558,33.558,0.001
66.802,33.198,0.001
66,32.87,0.001
65.468,32.532,0.001
64.405,32,0.001
64.141,31.859,0.001
64,31.813,0.001
63.714,31.714,0.001
62.632,31.368,0.001
62,31.131,0.001
61.139,30.861,0.001
60.776,30.776,0.001
60,30.561,0.001
59.596,30.404,0.001
58.123,30.123,0.001
58,30.087,0.001
57.924,30.076,0.001
57.216,30,0.001
56.147,29.853,0.001
56,29.843,0.001
55.843,29.843,0.001
54.157,29.843,0.001
54,29.843,0.001
53.853,29.853,0.001
52.379,30,0.001
52.025,30.025,0.001
52,30.026,0.001
51.972,30.028,0.001
50.19,30.19,0.001
50,30.203,0.001
49.715,30.285,0.001
48.524,30.524,0.001
48,30.718,0.001
47.084,31.084,0.001
46.803,31.197,0.001
46,31.518,0.001
45.641,31.641,0.001
45.008,32,0.001
44.256,32.256,0.001
44,32.35,0.001
43.255,32.745,0.001
42.907,32.907,0.001
42,33.544,0.001
41.685,33.685,0.001
41.325,34,0.001
40.495,34.495,0.001
40,35.004,0.001
39.413,35.413,0.001
38.826,36,0.001
38.287,36.287,0.001
38,36.454,0.001
37.056,37.056,0.001
36.166,38,0.001
36.08,38.08,0.001
36,38.143,0.001
35.524,38.476,0.001
34.886,38.886,0.001
34,39.798,0.001
33.868,39.868,0.001
33.763,40,0.001
32.71,40.71,0.001
32,41.42,0.001
31.599,41.599,0.001
31.052,42,0.001
30.356,42.356,0.001
30,42.68,0.001
29.192,43.192,0.001
28.131,44,0.001
28.046,44.046,0.001
28,44.075,0.001
27.768,44.232,0.001
26.831,44.831,0.001
26,45.55,0.001
25.706,45.706,0.001
25.405,46,0.001
24.601,46.601,0.001
24,47.255,0.001
23.561,47.561,0.001
23.131,48,0.001
22.489,48.489,0.001
22,49.131,0.001
21.52,49.52,0.001
21.052,50,0.001
20.454,50.454,0.001
20,51.052,0.001
19.515,51.515,0.001
19.093,52,0.001
18.513,52.513,0.001
18,53.197,0.001
17.598,53.598,0.001
17.297,54,0.001
16.809,54.809,0.001
16.299,55.701,0.001
16.125,56,0.001
16.07,56.07,0.001
16,56.241,0.001
15.365,57.365,0.001
15.006,58,0.001
14.661,58.661,0.001
14.087,59.913,0.001
14.045,60,0.001
14.03,60.03,0.001
14,60.126,0.001
13.418,61.418,0.001
13.197,62,0.001
12.986,62.986,0.001
12.977,63.023,0.001
12.757,64,0.001
12.644,64.644,0.001
12.273,65.727,0.001
12.209,66,0.001
12.202,66.202,0.001
12.202,67.798,0.001
12.196,68,0.001
12.202,68.202,0.001
12.202,69.798,0.001
12.209,70,0.001
12.216,70.216,0.001
12.216,71.784,0.001
12.224,72,0.001
12.299,72.299,0.001
12.602,73.398,0.001
12.742,74,0.001
13.057,74.943,0.001
13.142,75.142,0.001
13.472,76,0.001
13.629,76.371,0.001
14,76.981,0.001
14.376,77.624,0.001
14.549,78,0.001
15.143,78.857,0.001
16,79.886,0.001
16.048,79.952,0.001
16.095,80,0.001
16.379,80.379,0.001
16.911,81.089,0.001
17.595,82,0.001
17.779,82.221,0.001
18,82.374,0.001
18.983,83.017,0.001
19.104,83.104,0.001
20,83.739,0.001
20.136,83.864,0.001
20.314,84,0.001
21.297,84.703,0.001
22,85.054,0.001
22.704,85.296,0.001
23.67,85.67,0.001
24,85.791,0.001
24.128,85.872,0.001
24.348,86,0.001
25.417,86.583,0.001
26,86.782,0.001
26.959,86.959,0.001
27.03,86.97,0.001
28,87.159,0.001
28.688,87.312,0.001
29.572,87.572,0.001
30,87.679,0.001
30.293,87.707,0.001
31.916,87.916,0.001
32,87.924,0.001
32.055,87.945,0.001
32.379,88,0.001
33.751,88.249,0.001
34,88.27,0.001
34.278,88.278,0.001
35.722,88.278,0.001
36,88.286,0.001
36.295,88.295,0.001
37.705,88.295,0.001
38,88.304,0.001
38.314,88.314,0.001
39.608,88.392,0.001
40,88.404,0.001
40.429,88.429,0.001
41.457,88.543,0.001
42,88.572,0.001
42.621,88.621,0.001
43.309,88.691,0.001
44,88.743,0.001
44.782,88.782,0.001
45.197,88.803,0.001
46,88.843,0.001
46.865,88.865,0.001
47.123,88.877,0.001
48,88.898,0.001
48.967,88.967,0.001
49.03,88.97,0.001
50,89.043,0.001
50.87,89.13,0.001
51.159,89.159,0.001
52,89.243,0.001
52.704,89.296,0.001
53.364,89.364,0.001
54,89.414,0.001
54.557,89.443,0.001
55.554,89.554,0.001
56,89.58,0.001
56.396,89.604,0.001
57.776,89.776,0.001
58,89.791,0.001
58.209,89.791,0.001
59.791,89.791,0.001
60,89.791,0.001
60.216,89.784,0.001
61.784,89.784,0.001
62,89.776,0.001
62.232,89.768,0.001
63.768,89.768,0.001
64,89.759,0.001
64.285,89.715,0.001
65.524,89.524,0.001
66,89.451,0.001
66.68,89.32,0.001
67.182,89.182,0.001
68,89.054,0.001
68.803,88.803,0.001
69.46,88.54,0.001
70,88.347,0.001
70.286,88.286,0.001
71.216,88,0.001
