phi,psi,number
-104.848,-180,0.001
-104.623,-179.377,0.001
-104,-178.091,0.001
-103.979,-178.021,0.001
-103.968,-178,0.001
-103.937,-177.937,0.001
-103.365,-176.635,0.001
-102.96,-176,0.001
-102.705,-175.295,0.001
-102.15,-174.15,0.001
-102.085,-174,0.001
-102.051,-173.949,0.001
-102,-173.873,0.001
-101.365,-172.635,0.001
-100.898,-172,0.001
-100.599,-171.401,0.001
-100,-170.612,0.001
-99.799,-170.201,0.001
-99.579,-170,0.001
-98.991,-169.009,0.001
-98.935,-168.935,0.001
-98.252,-168,0.001
-98.142,-167.858,0.001
-98,-167.703,0.001
-97.28,-166.72,0.001
-96.662,-166,0.001
-96.378,-165.622,0.001
-96,-165.287,0.001
-95.38,-164.62,0.001
-94.606,-164,0.001
-94.309,-163.691,0.001
-94,-163.481,0.001
-93.099,-162.901,0.001
-92.546,-162.546,0.001
-92,-162.195,0.001
-91.904,-162.096,0.001
-91.697,-162,0.001
-90.679,-161.321,0.001
-90,-160.982,0.001
-89.315,-160.685,0.001
-88.411,-160.411,0.001
-88,-160.263,0.001
-87.825,-160.175,0.001
-87.212,-160,0.001
-86.373,-159.627,0.001
-86,-159.515,0.001
-85.418,-159.418,0.001
-84.745,-159.255,0.001
-84,-159.152,0.001
-83.127,-159.127,0.001
-82.886,-159.114,0.001
-82,-159.091,0.001
-81.091,-159.091,0.001
-80.909,-159.091,0.001
-80,-159.091,0.001
-79.178,-159.178,0.001
-78.781,-159.219,0.001
-78,-159.301,0.001
-77.423,-159.423,0.001
-76.252,-159.748,0.001
-76,-159.808,0.001
-75.872,-159.872,0.001
-75.591,-160,0.001
-74.364,-160.364,0.001
-74,-160.553,0.001
-73.057,-160.943,0.001
-72.974,-160.974,0.001
-72,-161.436,0.001
-71.664,-161.664,0.001
-71.249,-162,0.001
-70.457,-162.457,0.001
-70,-162.892,0.001
-69.344,-163.344,0.001
-68.546,-164,0.001
-68.194,-164.194,0.001
-68,-164.397,0.001
-67.14,-165.14,0.001
-66.397,-166,0.001
-66.184,-166.184,0.001
-66,-166.459,0.001
-65.268,-167.268,0.001
-64.669,-168,0.001
-64.339,-168.339,0.001
-64,-168.982,0.001
-63.576,-169.576,0.001
-63.306,-170,0.001
-62.66,-170.66,0.001
-62.047,-171.953,0.001
-62.02,-172,0.001
-62.011,-172.011,0.001
-62,-172.033,0.001
-61.143,-173.143,0.001
-60.648,-174,0.001
-60.377,-174.377,0.001
-60,-175.152,0.001
-59.628,-175.628,0.001
-59.364,-176,0.001
-58.727,-176.727,0.001
-58.354,-177.646,0.001
-58.168,-178,0.001
-58.085,-178.085,0.001
-58,-178.269,0.001
-57.176,-179.176,0.001
-56.648,-180,0.001
