phi,psi,number
-97.308,70,0.002
-96.581,69.419,0.002
-96,69.128,0.002
-95.033,68.967,0.002
-94.923,68.923,0.002
-94,68.692,0.002
-93.539,68.461,0.002
-93.308,68,0.002
-92.581,67.419,0.002
-92,67.128,0.002
-91.248,66.752,0.002
-90.872,66,0.002
-90.523,65.477,0.002
-90,65.128,0.002
-89.248,64.752,0.002
-88.872,64,0.002
-88.523,63.477,0.002
-88,63.128,0.002
-87.248,62.752,0.002
-86.872,62,0.002
-86.523,61.477,0.002
-86,61.128,0.002
-85.248,60.752,0.002
-84.872,60,0.002
-84.581,59.419,0.002
-84,58.692,0.002
-83.605,58.395,0.002
-83.308,58,0.002
-83.077,57.077,0.002
-83.033,56.967,0.002
-82.872,56,0.002
-82.581,55.419,0.002
-82,54.692,0.002
-81.605,54.395,0.002
-81.308,54,0.002
-81.077,53.077,0.002
-81.033,52.967,0.002
-80.872,52,0.002
-80.581,51.419,0.002
-80,50.692,0.002
-79.605,50.395,0.002
-79.308,50,0.002
-79.077,49.077,0.002
-79.033,48.967,0.002
-78.872,48,0.002
-78.581,47.419,0.002
-78,46.692,0.002
-77.605,46.395,0.002
-77.308,46,0.002
-77.077,45.077,0.002
-77.033,44.967,0.002
-76.872,44,0.002
-76.523,43.477,0.002
-76,42.692,0.002
-75.539,42.461,0.002
-75.308,42,0.002
-75.077,41.077,0.002
-75.033,40.967,0.002
-74.872,40,0.002
-74.581,39.419,0.002
-74,38.692,0.002
-73.539,38.461,0.002
-73.308,38,0.002
-73.077,37.077,0.002
-73.033,36.967,0.002
-72.872,36,0.002
-72.747,35.253,0.002
-72.747,34.747,0.002
-72.654,34,0.002
-72.402,33.598,0.002
-72,33.128,0.002
-71.248,32.752,0.002
-70.872,32,0.002
-70.747,31.253,0.002
-70.747,30.747,0.002
-70.654,30,0.002
-70.402,29.598,0.002
-70,29.128,0.002
-69.248,28.752,0.002
-68.872,28,0.002
-68.747,27.253,0.002
-68.747,26.747,0.002
-68.654,26,0.002
-68.402,25.598,0.002
-68,25.128,0.002
-67.248,24.752,0.002
-66.872,24,0.002
-66.654,23.346,0.002
-66.308,22.308,0.002
-66.205,22,0.002
-66.112,21.888,0.002
-66,21.692,0.002
-65.154,20.846,0.002
-64.872,20,0.002
-64.436,19.564,0.002
-64,19.128,0.002
-63.248,18.752,0.002
-62.872,18,0.002
-62.581,17.419,0.002
-62,16.692,0.002
-61.605,16.395,0.002
-61.308,16,0.002
-61.077,15.077,0.002
-61.033,14.967,0.002
-60.872,14,0.002
-60.476,13.524,0.002
-60,12.692,0.002
-59.605,12.395,0.002
-59.308,12,0.002
-59.077,11.077,0.002
-59.033,10.967,0.002
-58.872,10,0.002
-58.581,9.419,0.002
-58,8.692,0.002
-57.605,8.395,0.002
-57.308,8,0.002
-57.077,7.077,0.002
-57.033,6.967,0.002
-56.872,6,0.002
-56.747,5.253,0.002
-56.747,4.747,0.002
-56.654,4,0.002
-56.436,3.564,0.002
-56,2.692,0.002
-55.605,2.395,0.002
-55.308,2,0.002
-55.077,1.077,0.002
-55.033,0.967,0.002
-54.872,0,0.002
-54.747,-0.747,0.002
-54.747,-1.253,0.002
-54.654,-2,0.002
-54.402,-2.402,0.002
-54,-2.872,0.002
-53.248,-3.248,0.002
-52.872,-4,0.002
-52.747,-4.747,0.002
-52.747,-5.253,0.002
-52.654,-6,0.002
-52.402,-6.402,0.002
-52,-6.872,0.002
-51.323,-7.323,0.002
-50.872,-8,0.002
-50.747,-8.747,0.002
-50.747,-9.253,0.002
-50.654,-10,0.002
-50.436,-10.436,0.002
-50,-11.308,0.002
-49.605,-11.605,0.002
-49.308,-12,0.002
-49.077,-12.923,0.002
-49.033,-13.033,0.002
-48.872,-14,0.002
-48.747,-14.747,0.002
-48.747,-15.253,0.002
-48.654,-16,0.002
-48.476,-16.476,0.002
-48,-17.308,0.002
-47.605,-17.605,0.002
-47.308,-18,0.002
-47.077,-18.923,0.002
-47.033,-19.033,0.002
-46.872,-20,0.002
-46.872,-20.872,0.002
-46.872,-21.128,0.002
-46.872,-22,0.002
-46.872,-22.872,0.002
-46.872,-23.128,0.002
-46.872,-24,0.002
-46.872,-24.872,0.002
-46.872,-25.128,0.002
-46.872,-26,0.002
-46.872,-26.872,0.002
-46.872,-27.128,0.002
-46.872,-28,0.002
-46.872,-28.872,0.002
-46.872,-29.128,0.002
-46.872,-30,0.002
-47.033,-30.967,0.002
-47.077,-31.077,0.002
-47.308,-32,0.002
-47.539,-32.461,0.002
-48,-32.692,0.002
-48.581,-33.419,0.002
-48.872,-34,0.002
-48.872,-34.872,0.002
-48.872,-35.128,0.002
-48.872,-36,0.002
-49.248,-36.752,0.002
-50,-37.128,0.002
-50.523,-37.477,0.002
-50.872,-38,0.002
-51.033,-38.967,0.002
-51.077,-39.077,0.002
-51.308,-40,0.002
-51.539,-40.461,0.002
-52,-40.692,0.002
-52.654,-41.346,0.002
-53.308,-42,0.002
-53.539,-42.461,0.002
-54,-42.692,0.002
-54.654,-43.346,0.002
-55.308,-44,0.002
-55.539,-44.461,0.002
-56,-44.692,0.002
-56.923,-44.923,0.002
-57.033,-44.967,0.002
-58,-45.128,0.002
-58.523,-45.477,0.002
-58.872,-46,0.002
-59.248,-46.752,0.002
-60,-47.128,0.002
-60.747,-47.253,0.002
-61.589,-47.589,0.002
-62,-47.692,0.002
-62.205,-47.795,0.002
-62.616,-48,0.002
-63.446,-48.554,0.002
-64,-48.692,0.002
-64.923,-48.923,0.002
-65.033,-48.967,0.002
-66,-49.128,0.002
-66.654,-49.346,0.002
-67.692,-49.692,0.002
-68,-49.795,0.002
-68.176,-49.824,0.002
-68.616,-50,0.002
-69.446,-50.554,0.002
-70,-50.692,0.002
-70.692,-50.692,0.002
-71.308,-50.692,0.002
-72,-50.692,0.002
-72.692,-50.692,0.002
-73.308,-50.692,0.002
-74,-50.692,0.002
-74.692,-50.692,0.002
-75.308,-50.692,0.002
-76,-50.692,0.002
-76.692,-50.692,0.002
-77.308,-50.692,0.002
-78,-50.692,0.002
-78.554,-50.554,0.002
-79.384,-50,0.002
-79.824,-49.824,0.002
-80,-49.795,0.002
-80.308,-49.692,0.002
-81.346,-49.346,0.002
-82,-49.128,0.002
-82.872,-49.128,0.002
-83.128,-49.128,0.002
-84,-49.128,0.002
-84.967,-48.967,0.002
-85.077,-48.923,0.002
-86,-48.692,0.002
-86.461,-48.461,0.002
-86.692,-48,0.002
-87.419,-47.419,0.002
-88,-47.128,0.002
-88.846,-46.846,0.002
-89.692,-46,0.002
-89.877,-45.877,0.002
-90,-45.795,0.002
-90.411,-45.589,0.002
-91.253,-45.253,0.002
-92,-44.692,0.002
-92.461,-44.461,0.002
-92.692,-44,0.002
-93.419,-43.419,0.002
-94,-43.128,0.002
-94.752,-42.752,0.002
-95.128,-42,0.002
-95.477,-41.477,0.002
-96,-41.128,0.002
-96.752,-40.752,0.002
-97.128,-40,0.002
-97.477,-39.477,0.002
-98,-39.128,0.002
-98.752,-38.752,0.002
-99.128,-38,0.002
-99.477,-37.477,0.002
-100,-37.128,0.002
-100.752,-36.752,0.002
-101.128,-36,0.002
-101.419,-35.419,0.002
-102,-34.692,0.002
-102.461,-34.461,0.002
-102.692,-34,0.002
-103.346,-33.346,0.002
-104,-32.692,0.002
-104.395,-32.395,0.002
-104.692,-32,0.002
-105.253,-31.253,0.002
-105.589,-30.411,0.002
-105.795,-30,0.002
-105.877,-29.877,0.002
-106,-29.692,0.002
-106.846,-28.846,0.002
-107.128,-28,0.002
-107.564,-27.564,0.002
-108,-27.128,0.002
-108.752,-26.752,0.002
-109.128,-26,0.002
-109.564,-25.564,0.002
-110,-25.128,0.002
-110.677,-24.677,0.002
-111.128,-24,0.002
-111.346,-23.346,0.002
-111.692,-22.308,0.002
-111.795,-22,0.002
-111.888,-21.888,0.002
-112,-21.692,0.002
-112.846,-20.846,0.002
-113.128,-20,0.002
-113.524,-19.524,0.002
-114,-18.692,0.002
-114.395,-18.395,0.002
-114.692,-18,0.002
-115.128,-17.128,0.002
-115.128,-16.872,0.002
-115.346,-16,0.002
-115.626,-15.626,0.002
-116,-15.128,0.002
-116.752,-14.752,0.002
-117.128,-14,0.002
-117.564,-13.564,0.002
-118,-13.128,0.002
-118.752,-12.752,0.002
-119.128,-12,0.002
-119.346,-11.346,0.002
-119.692,-10.308,0.002
-119.795,-10,0.002
-119.877,-9.877,0.002
-120,-9.692,0.002
-120.846,-8.846,0.002
-121.128,-8,0.002
-121.419,-7.419,0.002
-122,-6.692,0.002
-122.461,-6.461,0.002
-122.692,-6,0.002
-122.923,-5.077,0.002
-122.967,-4.967,0.002
-123.128,-4,0.002
-123.419,-3.419,0.002
-124,-2.692,0.002
-124.461,-2.461,0.002
-124.692,-2,0.002
-124.923,-1.077,0.002
-124.967,-0.967,0.002
-125.128,0,0.002
-125.253,0.747,0.002
-125.253,1.253,0.002
-125.346,2,0.002
-125.419,2.581,0.002
-125.754,3.754,0.002
-125.795,4,0.002
-125.824,4.176,0.002
-126,4.616,0.002
-126.554,5.446,0.002
-126.692,6,0.002
-126.692,6.692,0.002
-126.692,7.308,0.002
-126.692,8,0.002
-126.692,8.692,0.002
-126.692,9.308,0.002
-126.692,10,0.002
-126.554,10.554,0.002
-126,11.384,0.002
-125.824,11.824,0.002
-125.795,12,0.002
-125.754,12.246,0.002
-125.419,13.419,0.002
-125.346,14,0.002
-125.253,14.747,0.002
-125.253,15.253,0.002
-125.128,16,0.002
-125.128,16.872,0.002
-125.128,17.128,0.002
-125.128,18,0.002
-124.967,18.967,0.002
-124.923,19.077,0.002
-124.692,20,0.002
-124.461,20.461,0.002
-124,20.692,0.002
-123.477,21.477,0.002
-123.346,22,0.002
-123.253,22.747,0.002
-123.253,23.253,0.002
-123.128,24,0.002
-123.128,24.872,0.002
-123.128,25.128,0.002
-123.128,26,0.002
-123.128,26.872,0.002
-123.128,27.128,0.002
-123.128,28,0.002
-123.128,28.872,0.002
-123.128,29.128,0.002
-123.128,30,0.002
-123.128,30.872,0.002
-123.128,31.128,0.002
-123.128,32,0.002
-123.128,32.872,0.002
-123.128,33.128,0.002
-123.128,34,0.002
-123.253,34.747,0.002
-123.253,35.253,0.002
-123.346,36,0.002
-123.346,36.654,0.002
-123.346,37.346,0.002
-123.346,38,0.002
-123.419,38.581,0.002
-123.754,39.754,0.002
-123.795,40,0.002
-123.846,40.154,0.002
-124,40.616,0.002
-124.461,41.539,0.002
-124.692,42,0.002
-124.692,42.692,0.002
-124.692,43.308,0.002
-124.692,44,0.002
-124.692,44.692,0.002
-124.692,45.308,0.002
-124.692,46,0.002
-124.692,46.692,0.002
-124.692,47.308,0.002
-124.692,48,0.002
-124.554,48.554,0.002
-124,49.384,0.002
-123.846,49.846,0.002
-123.795,50,0.002
-123.754,50.246,0.002
-123.419,51.419,0.002
-123.346,52,0.002
-123.253,52.747,0.002
-123.253,53.253,0.002
-123.128,54,0.002
-122.967,54.967,0.002
-122.923,55.077,0.002
-122.692,56,0.002
-122.461,56.461,0.002
-122,56.692,0.002
-121.477,57.477,0.002
-121.346,58,0.002
-121.128,58.872,0.002
-121.128,59.128,0.002
-120.692,60,0.002
-120.461,60.461,0.002
-120,60.692,0.002
-119.419,61.419,0.002
-119.128,62,0.002
-118.752,62.752,0.002
-118,63.128,0.002
-117.477,63.477,0.002
-117.128,64,0.002
-116.752,64.752,0.002
-116,65.128,0.002
-115.477,65.477,0.002
-115.128,66,0.002
-114.752,66.752,0.002
-114,67.128,0.002
-113.419,67.419,0.002
-112.692,68,0.002
-112.461,68.461,0.002
-112,68.692,0.002
-111.077,68.923,0.002
-110.967,68.967,0.002
-110,69.128,0.002
-109.346,69.346,0.002
-108.308,69.692,0.002
