phi,psi,number
-75.409,178,0.02
-74.287,177.713,0.02
-74,177.621,0.02
-73.433,177.433,0.02
-72.75,177.25,0.02
-72,176.949,0.02
-71.318,176.682,0.02
-70.151,176,0.02
-70.036,175.964,0.02
-70,175.945,0.02
-69.896,175.896,0.02
-68.604,175.396,0.02
-68,175.003,0.02
-67.351,174.649,0.02
-66.616,174,0.02
-66.198,173.802,0.02
-66,173.637,0.02
-65.057,173.057,0.02
-64.982,173.018,0.02
-64,172.058,0.02
-63.966,172.034,0.02
-63.937,172,0.02
-62.734,171.266,0.02
-62,170.415,0.02
-61.761,170.239,0.02
-61.577,170,0.02
-60.645,169.355,0.02
-60,168.469,0.02
-59.734,168.266,0.02
-59.539,168,0.02
-58.678,167.322,0.02
-58,166.218,0.02
-57.882,166.118,0.02
-57.803,166,0.02
-56.871,165.13,0.02
-56.613,164.613,0.02
-56.241,164,0.02
-56.12,163.88,0.02
-56,163.641,0.02
-55.178,162.822,0.02
-54.723,162,0.02
-54.381,161.619,0.02
-54,160.75,0.02
-53.636,160.364,0.02
-53.439,160,0.02
-52.798,159.202,0.02
-52.56,158.56,0.02
-52.284,158,0.02
-52.164,157.836,0.02
-52,157.414,0.02
-51.356,156.644,0.02
-51.052,156,0.02
-50.616,155.384,0.02
-50.18,154.18,0.02
-50.096,154,0.02
-50.057,153.943,0.02
-50,153.796,0.02
-49.199,152.801,0.02
-48.831,152,0.02
-48.493,151.507,0.02
-48,150.143,0.02
-47.937,150.063,0.02
-47.908,150,0.02
-47.725,149.725,0.02
-47.11,148.89,0.02
-46.719,148,0.02
-46.442,147.558,0.02
-46,146.297,0.02
-45.87,146.13,0.02
-45.807,146,0.02
-45.463,145.463,0.02
-45.081,144.919,0.02
-44.664,144,0.02
-44.424,143.576,0.02
-44,142.409,0.02
-43.825,142.175,0.02
-43.742,142,0.02
-43.466,141.466,0.02
-43.124,140.876,0.02
-42.775,140,0.02
-42.571,139.429,0.02
-42.28,138.28,0.02
-42.194,138,0.02
-42.154,137.846,0.02
-42,137.092,0.02
-41.709,136.291,0.02
-41.637,136,0.02
-41.56,135.56,0.02
-41.368,134.632,0.02
-41.266,134,0.02
-41.182,133.182,0.02
-41.146,132.854,0.02
-41.059,132,0.02
-41.004,131.004,0.02
-41.003,130.997,0.02
-40.947,130,0.02
-40.92,129.08,0.02
-40.916,128.916,0.02
-40.889,128,0.02
-40.879,127.121,0.02
-40.875,126.875,0.02
-40.866,126,0.02
-40.881,125.119,0.02
-40.881,124.881,0.02
-40.897,124,0.02
-40.966,123.034,0.02
-40.968,122.968,0.02
-41.043,122,0.02
-41.186,121.186,0.02
-41.325,120.675,0.02
-41.465,120,0.02
-41.588,119.588,0.02
-42,118.638,0.02
-42.142,118.142,0.02
-42.204,118,0.02
-42.398,117.602,0.02
-42.744,116.744,0.02
-43.251,116,0.02
-43.552,115.552,0.02
-44,115.122,0.02
-44.483,114.483,0.02
-45.061,114,0.02
-45.525,113.525,0.02
-46,113.221,0.02
-46.685,112.685,0.02
-47.86,112.14,0.02
-48,112.064,0.02
-48.039,112.039,0.02
-48.153,112,0.02
-49.376,111.376,0.02
-50,111.173,0.02
-50.896,110.896,0.02
-51.142,110.858,0.02
-52,110.649,0.02
-52.53,110.53,0.02
-53.577,110.423,0.02
-54,110.345,0.02
-54.287,110.287,0.02
-55.869,110.131,0.02
