phi,psi,number
57.094,-180,0.001
56.934,-179.066,0.001
56.907,-178.907,0.001
56.753,-178,0.001
56.552,-177.448,0.001
56.155,-176.155,0.001
56.103,-176,0.001
56.074,-175.926,0.001
56,-175.718,0.001
55.424,-174.576,0.001
55.245,-174,0.001
54.907,-173.093,0.001
54.842,-172.842,0.001
54.575,-172,0.001
54.381,-171.619,0.001
54,-170.747,0.001
53.687,-170.313,0.001
53.566,-170,0.001
53.232,-169.232,0.001
53.075,-168.925,0.001
52.769,-168,0.001
52.481,-167.519,0.001
52,-166.499,0.001
51.773,-166.227,0.001
51.672,-166,0.001
51.367,-165.367,0.001
51.104,-164.896,0.001
50.783,-164,0.001
50.494,-163.506,0.001
50,-162.37,0.001
49.834,-162.166,0.001
49.757,-162,0.001
49.543,-161.543,0.001
49.159,-160.841,0.001
48.866,-160,0.001
48.571,-159.429,0.001
48.115,-158.115,0.001
48.068,-158,0.001
48.048,-157.952,0.001
48,-157.827,0.001
47.332,-156.668,0.001
47.099,-156,0.001
46.734,-155.266,0.001
46.546,-154.546,0.001
46.349,-154,0.001
46.231,-153.769,0.001
46,-153.267,0.001
45.439,-152.561,0.001
45.204,-152,0.001
44.747,-151.253,0.001
44.537,-150.537,0.001
44.317,-150,0.001
44.2,-149.8,0.001
44,-149.335,0.001
43.391,-148.609,0.001
43.118,-148,0.001
42.682,-147.318,0.001
42.406,-146.406,0.001
42.235,-146,0.001
42.149,-145.851,0.001
42,-145.468,0.001
41.344,-144.656,0.001
41.053,-144,0.001
40.658,-143.342,0.001
40.343,-142.343,0.001
40.199,-142,0.001
40.124,-141.876,0.001
40,-141.572,0.001
39.28,-140.72,0.001
38.95,-140,0.001
38.577,-139.423,0.001
38.046,-138.046,0.001
38.024,-138,0.001
38.014,-137.986,0.001
38,-137.957,0.001
37.07,-136.93,0.001
36.633,-136,0.001
36.389,-135.611,0.001
36,-134.812,0.001
35.586,-134.414,0.001
35.355,-134,0.001
34.79,-133.21,0.001
34.563,-132.563,0.001
34.301,-132,0.001
34.205,-131.795,0.001
34,-131.332,0.001
33.392,-130.608,0.001
33.12,-130,0.001
32.79,-129.21,0.001
32.643,-128.643,0.001
32.428,-128,0.001
32.326,-127.674,0.001
32,-126.544,0.001
31.806,-126.194,0.001
31.742,-126,0.001
31.683,-125.683,0.001
31.428,-124.572,0.001
31.332,-124,0.001
31.25,-123.25,0.001
31.187,-122.813,0.001
31.105,-122,0.001
31.109,-121.109,0.001
31.115,-120.885,0.001
31.119,-120,0.001
31.203,-119.203,0.001
31.29,-118.71,0.001
31.376,-118,0.001
31.468,-117.468,0.001
31.89,-116.11,0.001
31.915,-116,0.001
31.935,-115.935,0.001
32,-115.82,0.001
32.462,-114.462,0.001
32.69,-114,0.001
33.054,-113.054,0.001
33.191,-112.809,0.001
33.593,-112,0.001
33.732,-111.732,0.001
34,-111.469,0.001
34.58,-110.58,0.001
35.08,-110,0.001
35.439,-109.439,0.001
36,-108.958,0.001
36.422,-108.422,0.001
36.887,-108,0.001
37.376,-107.376,0.001
38,-106.933,0.001
38.474,-106.474,0.001
39.11,-106,0.001
39.535,-105.535,0.001
40,-105.265,0.001
40.692,-104.692,0.001
41.714,-104,0.001
41.854,-103.854,0.001
42,-103.774,0.001
42.97,-103.03,0.001
43.003,-103.004,0.001
44,-102.394,0.001
44.201,-102.201,0.001
44.483,-102,0.001
45.256,-101.256,0.001
46,-100.83,0.001
46.446,-100.446,0.001
47.064,-100,0.001
47.507,-99.507,0.001
48,-99.21,0.001
48.681,-98.681,0.001
49.712,-98,0.001
49.851,-97.851,0.001
50,-97.763,0.001
50.549,-97.451,0.001
51.108,-97.108,0.001
52,-96.697,0.001
52.462,-96.462,0.001
53.442,-96,0.001
53.773,-95.773,0.001
54,-95.682,0.001
54.434,-95.566,0.001
55.307,-95.307,0.001
56,-95.138,0.001
56.999,-95.001,0.001
57.001,-95.001,0.001
58,-94.871,0.001
58.89,-94.89,0.001
59.115,-94.885,0.001
60,-94.906,0.001
60.946,-95.054,0.001
61.091,-95.091,0.001
62,-95.259,0.001
62.557,-95.443,0.001
63.551,-96,0.001
63.853,-96.147,0.001
64,-96.235,0.001
64.716,-96.716,0.001
65.063,-96.937,0.001
66,-97.706,0.001
66.166,-97.834,0.001
66.279,-98,0.001
67.055,-98.945,0.001
67.238,-99.238,0.001
67.741,-100,0.001
67.862,-100.138,0.001
68,-100.37,0.001
68.677,-101.323,0.001
68.963,-102,0.001
69.297,-102.703,0.001
69.645,-103.645,0.001
69.791,-104,0.001
69.864,-104.136,0.001
70,-104.532,0.001
70.486,-105.514,0.001
70.63,-106,0.001
70.892,-106.892,0.001
70.949,-107.051,0.001
71.178,-108,0.001
71.406,-108.594,0.001
71.64,-109.64,0.001
71.75,-110,0.001
71.815,-110.185,0.001
72,-110.866,0.001
72.369,-111.631,0.001
72.466,-112,0.001
72.612,-112.612,0.001
72.796,-113.204,0.001
72.953,-114,0.001
73.064,-114.936,0.001
73.072,-115.072,0.001
73.17,-116,0.001
73.256,-116.744,0.001
73.286,-117.286,0.001
73.36,-118,0.001
73.369,-118.631,0.001
73.367,-119.367,0.001
73.376,-120,0.001
73.332,-120.668,0.001
73.3,-121.3,0.001
73.254,-122,0.001
73.147,-122.853,0.001
73.126,-123.126,0.001
73.005,-124,0.001
72.853,-124.853,0.001
72.74,-125.26,0.001
72.584,-126,0.001
72.457,-126.457,0.001
72,-127.472,0.001
71.895,-127.895,0.001
71.867,-128,0.001
71.813,-128.187,0.001
71.498,-129.498,0.001
71.334,-130,0.001
71.161,-130.839,0.001
71.12,-131.12,0.001
70.908,-132,0.001
70.83,-132.83,0.001
70.781,-133.219,0.001
70.703,-134,0.001
70.705,-134.705,0.001
70.695,-135.305,0.001
70.697,-136,0.001
70.777,-136.777,0.001
70.829,-137.171,0.001
70.91,-138,0.001
71.061,-138.939,0.001
71.082,-139.082,0.001
71.225,-140,0.001
71.383,-140.617,0.001
71.602,-141.602,0.001
71.698,-142,0.001
71.758,-142.242,0.001
72,-143.318,0.001
72.191,-143.809,0.001
72.234,-144,0.001
72.293,-144.293,0.001
72.583,-145.417,0.001
72.686,-146,0.001
72.841,-146.841,0.001
72.9,-147.1,0.001
73.049,-148,0.001
73.227,-148.773,0.001
73.29,-149.29,0.001
73.427,-150,0.001
73.554,-150.446,0.001
73.858,-151.858,0.001
73.894,-152,0.001
73.916,-152.084,0.001
74,-152.463,0.001
74.424,-153.576,0.001
74.519,-154,0.001
74.659,-154.659,0.001
74.806,-155.194,0.001
74.953,-156,0.001
75.134,-156.866,0.001
75.177,-157.177,0.001
75.33,-158,0.001
75.469,-158.531,0.001
75.67,-159.67,0.001
75.745,-160,0.001
75.791,-160.209,0.001
76,-161.138,0.001
76.242,-161.758,0.001
76.296,-162,0.001
76.39,-162.39,0.001
76.676,-163.324,0.001
76.813,-164,0.001
77.012,-164.988,0.001
77.017,-165.017,0.001
77.204,-166,0.001
77.404,-166.596,0.001
77.711,-167.711,0.001
77.8,-168,0.001
77.852,-168.148,0.001
78,-168.565,0.001
78.51,-169.49,0.001
78.683,-170,0.001
79.051,-170.949,0.001
79.092,-171.092,0.001
79.395,-172,0.001
79.599,-172.401,0.001
80,-173.253,0.001
80.319,-173.681,0.001
80.45,-174,0.001
80.803,-174.803,0.001
80.933,-175.067,0.001
81.271,-176,0.001
81.538,-176.462,0.001
82,-177.405,0.001
82.261,-177.739,0.001
82.379,-178,0.001
82.675,-178.675,0.001
82.889,-179.111,0.001
83.212,-180,0.001

