phi,psi,number
-180,-95.909,0.001
-179.922,-95.922,0.001
-179.178,-96,0.001
-178.084,-96.084,0.001
-178,-96.091,0.001
-177.906,-96.094,0.001
-176.094,-96.094,0.001
-176,-96.098,0.001
-175.902,-96.098,0.001
-174.098,-96.098,0.001
-174,-96.098,0.001
-173.909,-96.091,0.001
-172.822,-96,0.001
-172.078,-95.922,0.001
-172,-95.909,0.001
-171.874,-95.874,0.001
-170.546,-95.454,0.001
-170,-95.318,0.001
-169.318,-95.318,0.001
-168.682,-95.318,0.001
-168,-95.318,0.001
-167.197,-95.197,0.001
-166.866,-95.134,0.001
-166,-95.016,0.001
-165.172,-94.828,0.001
-164.578,-94.578,0.001
-164,-94.397,0.001
-163.647,-94.353,0.001
-162.353,-94.353,0.001
-162,-94.318,0.001
-161.724,-94.276,0.001
-160.276,-94.276,0.001
-160,-94.244,0.001
-159.781,-94.219,0.001
-158.094,-94.094,0.001
-158,-94.084,0.001
-157.924,-94.076,0.001
-156.076,-94.076,0.001
-156,-94.069,0.001
-155.94,-94.06,0.001
-154.822,-94,0.001
-154.043,-93.957,0.001
-154,-93.954,0.001
-153.939,-93.939,0.001
-152.461,-93.539,0.001
-152,-93.43,0.001
-151.098,-93.098,0.001
-150.955,-93.045,0.001
-150,-92.694,0.001
-149.623,-92.377,0.001
-148.353,-92,0.001
-148.099,-91.901,0.001
-148,-91.872,0.001
-147.624,-91.624,0.001
-146.875,-91.125,0.001
-146,-90.573,0.001
-145.72,-90.28,0.001
-144.986,-90,0.001
-144.401,-89.599,0.001
-144,-89.288,0.001
-143.517,-88.483,0.001
-142.712,-88,0.001
-142.347,-87.653,0.001
-142,-87.359,0.001
-141.527,-86.473,0.001
-140.913,-86,0.001
-140.519,-85.481,0.001
-140,-84.963,0.001
-139.672,-84.328,0.001
-139.244,-84,0.001
-138.733,-83.267,0.001
-138,-82.417,0.001
-137.872,-82.128,0.001
-137.758,-82,0.001
-137.166,-81.166,0.001
-137.034,-80.966,0.001
-136.032,-80,0.001
-136.021,-79.979,0.001
-136,-79.954,0.001
-135.317,-78.683,0.001
-134.534,-78,0.001
-134.372,-77.628,0.001
-134,-76.932,0.001
-133.772,-76.228,0.001
-133.514,-76,0.001
-132.954,-75.046,0.001
-132.803,-74.803,0.001
-132.31,-74,0.001
-132.244,-73.756,0.001
-132,-72.636,0.001
-131.904,-72.096,0.001
-131.833,-72,0.001
-131.756,-71.756,0.001
-131.393,-70.607,0.001
-131.201,-70,0.001
-130.913,-69.087,0.001
-130.832,-68.832,0.001
-130.57,-68,0.001
-130.492,-67.508,0.001
-130.379,-66.379,0.001
-130.325,-66,0.001
-130.317,-65.683,0.001
-130.317,-64.317,0.001
-130.31,-64,0.001
-130.268,-63.732,0.001
-130,-62.295,0.001
-129.963,-62.037,0.001
-129.951,-62,0.001
-129.944,-61.944,0.001
-129.944,-60.056,0.001
-129.935,-60,0.001
-129.935,-59.935,0.001
-129.935,-58.065,0.001
-129.935,-58,0.001
-129.935,-57.935,0.001
-129.935,-56.065,0.001
-129.935,-56,0.001
-129.944,-55.944,0.001
-129.944,-54.056,0.001
-129.951,-54,0.001
-129.966,-53.966,0.001
-130,-53.804,0.001
-130.451,-52.451,0.001
-130.676,-52,0.001
-131.185,-51.185,0.001
-131.603,-50.397,0.001
-131.823,-50,0.001
-131.912,-49.912,0.001
-132,-49.647,0.001
-132.559,-48.559,0.001
-133.059,-48,0.001
-133.612,-47.612,0.001
-134,-46.682,0.001
-134.231,-46.231,0.001
-134.341,-46,0.001
-135.127,-45.127,0.001
-135.804,-44.196,0.001
-135.951,-44,0.001
-135.978,-43.978,0.001
-136,-43.931,0.001
-136.831,-42.831,0.001
-137.427,-42,0.001
-137.728,-41.728,0.001
-138,-40.986,0.001
-138.372,-40.372,0.001
-138.557,-40,0.001
-139.294,-39.294,0.001
-139.921,-38.079,0.001
-139.97,-38,0.001
-139.982,-37.982,0.001
-140,-37.935,0.001
-140.829,-36.829,0.001
-141.451,-36,0.001
-141.725,-35.725,0.001
-142,-34.802,0.001
-142.245,-34.245,0.001
-142.327,-34,0.001
-142.735,-33.265,0.001
-142.921,-32.921,0.001
-143.473,-32,0.001
-143.717,-31.717,0.001
-144,-30.682,0.001
-144.189,-30.189,0.001
-144.235,-30,0.001
-144.341,-29.659,0.001
-144.671,-28.671,0.001
-144.865,-28,0.001
-145.282,-27.282,0.001
-145.553,-26.447,0.001
-145.74,-26,0.001
-145.811,-25.811,0.001
-146,-24.758,0.001
-146.192,-24.192,0.001
-146.235,-24,0.001
-146.317,-23.683,0.001
-146.646,-22.646,0.001
-146.789,-22,0.001
-147.223,-21.223,0.001
-147.473,-20.527,0.001
-147.701,-20,0.001
-147.777,-19.777,0.001
-148,-18.117,0.001
-148.025,-18.025,0.001
-148.03,-18,0.001
-148.046,-17.954,0.001
-148.591,-16.591,0.001
-148.752,-16,0.001
-149.208,-15.208,0.001
-149.451,-14.549,0.001
-149.694,-14,0.001
-149.786,-13.786,0.001
-150,-12.682,0.001
-150.192,-12.192,0.001
-150.244,-12,0.001
-150.593,-11.407,0.001
-150.897,-10.897,0.001
-151.408,-10,0.001
-151.709,-9.709,0.001
-152,-8.773,0.001
-152.281,-8.281,0.001
-152.387,-8,0.001
-153.186,-7.186,0.001
-153.765,-6.235,0.001
-153.922,-6,0.001
-153.956,-5.956,0.001
-154,-5.823,0.001
-154.714,-4.714,0.001
-155.094,-4,0.001
-155.554,-3.554,0.001
-156,-2.401,0.001
-156.168,-2.168,0.001
-156.244,-2,0.001
-157.081,-1.081,0.001
-157.247,-0.753,0.001
-157.694,0,0.001
-157.81,0.19,0.001
-158,0.879,0.001
-158.415,1.585,0.001
-158.58,2,0.001
-159.244,2.756,0.001
-159.807,3.807,0.001
-159.924,4,0.001
-159.95,4.05,0.001
-160,4.318,0.001
-160.455,5.545,0.001
-160.58,6,0.001
-161.176,6.824,0.001
-161.401,7.401,0.001
-161.694,8,0.001
-161.782,8.218,0.001
-162,9.318,0.001
-162.195,9.805,0.001
-162.244,10,0.001
-162.359,10.359,0.001
-162.688,11.312,0.001
-162.894,12,0.001
-163.302,12.698,0.001
-163.609,13.609,0.001
-163.776,14,0.001
-163.835,14.165,0.001
-164,15.147,0.001
-164.213,15.787,0.001
-164.262,16,0.001
-164.593,16.593,0.001
-164.875,17.125,0.001
-165.427,18,0.001
-165.671,18.329,0.001
-166,19.318,0.001
-166.224,19.776,0.001
-166.325,20,0.001
-167.036,20.964,0.001
-167.529,21.529,0.001
-167.935,22,0.001
-167.971,22.029,0.001
-168,22.098,0.001
-168.713,23.287,0.001
-169.268,24,0.001
-169.649,24.351,0.001
-170,25.098,0.001
-170.373,25.627,0.001
-170.676,26,0.001
-171.216,26.784,0.001
-171.832,27.832,0.001
-171.935,28,0.001
-171.969,28.031,0.001
-172,28.107,0.001
-172.706,29.294,0.001
-173.225,30,0.001
-173.503,30.497,0.001
-174,31.883,0.001
-174.03,31.97,0.001
