phi,psi,number
-129.271,52,0.02
-128.533,51.467,0.02
-128,51.078,0.02
-127.474,50.526,0.02
-126.969,50,0.02
-126.435,49.565,0.02
-126,49.235,0.02
-125.335,48.665,0.02
-124.451,48,0.02
-124.156,47.844,0.02
-124,47.771,0.02
-123.604,47.604,0.02
-122.764,47.236,0.02
-122,46.931,0.02
-121.323,46.677,0.02
-120.3,46.3,0.02
-120,46.189,0.02
-119.868,46.132,0.02
-119.564,46,0.02
-118.43,45.57,0.02
-118,45.365,0.02
-117.14,44.86,0.02
-116.246,44.246,0.02
-116,44.082,0.02
-115.952,44.048,0.02
-115.889,44,0.02
-114.779,43.221,0.02
-114,42.593,0.02
-113.658,42.342,0.02
-113.192,42,0.02
-112.469,41.531,0.02
-112,41.2,0.02
-111.241,40.759,0.02
-110.027,40.027,0.02
-110,40.011,0.02
-109.993,40.007,0.02
-109.976,40,0.02
-108.548,39.452,0.02
-108,39.22,0.02
-107.1,38.9,0.02
-106.771,38.771,0.02
-106,38.481,0.02
-105.651,38.349,0.02
-104.814,38,0.02
-104.195,37.805,0.02
-104,37.73,0.02
-103.524,37.524,0.02
-102.772,37.228,0.02
-102,36.843,0.02
-101.445,36.555,0.02
-100.609,36,0.02
-100.201,35.799,0.02
-100,35.656,0.02
-99.033,34.967,0.02
-98.039,34,0.02
-98.016,33.984,0.02
-98,33.968,0.02
-97.692,33.692,0.02
-96.956,33.044,0.02
-96.539,32.539,0.02
-96.082,32,0.02
-96.037,31.963,0.02
-96,31.921,0.02
-95.018,30.982,0.02
-94.19,30,0.02
-94.086,29.914,0.02
-94,29.819,0.02
-93.048,28.952,0.02
-92.184,28,0.02
-92.083,27.917,0.02
-92,27.826,0.02
-91.043,26.957,0.02
-90.191,26,0.02
-90.09,25.91,0.02
-90,25.799,0.02
-89.08,24.92,0.02
-88.302,24,0.02
-88.147,23.853,0.02
-88,23.663,0.02
-87.196,22.804,0.02
-86.58,22,0.02
-86.291,21.709,0.02
-86,21.29,0.02
-85.421,20.579,0.02
-85.052,20,0.02
-84.551,19.449,0.02
-84,18.581,0.02
-83.741,18.259,0.02
-83.59,18,0.02
-82.819,17.181,0.02
-82,16.074,0.02
-81.963,16.037,0.02
-81.939,16,0.02
-80.952,15.048,0.02
-80.556,14.556,0.02
-80.097,14,0.02
-80.045,13.955,0.02
-80,13.9,0.02
-79.012,12.988,0.02
-78.167,12,0.02
-78.071,11.929,0.02
-78,11.853,0.02
-77.358,11.358,0.02
-76.946,11.054,0.02
-76,10.092,0.02
-75.946,10.054,0.02
-75.899,10,0.02
-74.759,9.241,0.02
-74,8.475,0.02
-73.724,8.276,0.02
-73.497,8,0.02
-72.662,7.338,0.02
-72,6.556,0.02
-71.69,6.31,0.02
-71.46,6,0.02
-70.667,5.333,0.02
-70,4.5,0.02
-69.722,4.278,0.02
-69.519,4,0.02
-68.669,3.331,0.02
-68,2.467,0.02
-67.746,2.254,0.02
-67.581,2,0.02
-66.758,1.242,0.02
-66.012,0.012,0.02
-66.004,0,0.02
-66.002,-0.002,0.02
-66,-0.005,0.02
-65.043,-1.043,0.02
-64.499,-2,0.02
-64.245,-2.245,0.02
-64,-2.717,0.02
-63.35,-3.35,0.02
-62.965,-4,0.02
-62.476,-4.476,0.02
-62,-5.345,0.02
-61.656,-5.656,0.02
-61.455,-6,0.02
-60.733,-6.733,0.02
-60.245,-7.755,0.02
-60.102,-8,0.02
-60.048,-8.048,0.02
-60,-8.164,0.02
-59.122,-9.122,0.02
-58.664,-10,0.02
-58.324,-10.324,0.02
-58,-11.013,0.02
-57.48,-11.48,0.02
-57.183,-12,0.02
-56.587,-12.587,0.02
-56,-13.924,0.02
-55.963,-13.963,0.02
-55.945,-14,0.02
-55.487,-14.513,0.02
-55.02,-15.02,0.02
-54.522,-16,0.02
-54.253,-16.253,0.02
-54,-16.869,0.02
-53.426,-17.426,0.02
-53.126,-18,0.02
-52.612,-18.612,0.02
-52.137,-19.863,0.02
-52.068,-20,0.02
-52.037,-20.037,0.02
-52,-20.152,0.02
-51.168,-21.168,0.02
-50.802,-22,0.02
-50.472,-22.472,0.02
-50,-23.763,0.02
-49.888,-23.888,0.02
-49.835,-24,0.02
-49.353,-24.647,0.02
-49.039,-25.039,0.02
-48.587,-26,0.02
-48.345,-26.345,0.02
-48,-27.357,0.02
-47.711,-27.711,0.02
-47.581,-28,0.02
-46.963,-28.963,0.02
-46.931,-29.069,0.02
-46.539,-30,0.02
-46.324,-30.324,0.02
-46,-31.227,0.02
-45.659,-31.659,0.02
-45.517,-32,0.02
-44.987,-32.987,0.02
-44.977,-33.023,0.02
-44.599,-34,0.02
-44.401,-34.401,0.02
-44,-35.599,0.02
-43.832,-35.832,0.02
-43.76,-36,0.02
-43.476,-36.524,0.02
-43.115,-37.115,0.02
-42.761,-38,0.02
-42.515,-38.515,0.02
-42.072,-39.928,0.02
-42.044,-40,0.02
-42.032,-40.032,0.02
-42,-40.16,0.02
-41.394,-41.394,0.02
-41.19,-42,0.02
-40.866,-42.866,0.02
-40.778,-43.222,0.02
-40.536,-44,0.02
-40.412,-44.412,0.02
-40.109,-45.891,0.02
-40.08,-46,0.02
-40.066,-46.066,0.02
-40,-46.453,0.02
-39.647,-47.647,0.02
-39.575,-48,0.02
-39.502,-48.498,0.02
-39.362,-49.362,0.02
-39.271,-50,0.02
-39.25,-50.75,0.02
-39.26,-51.26,0.02
-39.237,-52,0.02
-39.301,-52.699,0.02
-39.428,-53.428,0.02
-39.489,-54,0.02
-39.585,-54.415,0.02
-40,-55.554,0.02
-40.096,-55.904,0.02
-40.142,-56,0.02
-40.333,-56.333,0.02
-40.78,-57.22,0.02
-41.4,-58,0.02
-41.656,-58.344,0.02
-42,-58.651,0.02
-42.694,-59.306,0.02
-43.879,-60,0.02
-43.95,-60.05,0.02
-44,-60.072,0.02
-44.127,-60.127,0.02
-45.297,-60.703,0.02
-46,-60.949,0.02
-46.811,-61.189,0.02
-47.27,-61.27,0.02
-48,-61.45,0.02
-48.459,-61.541,0.02
-49.653,-61.653,0.02
-50,-61.711,0.02
-50.257,-61.743,0.02
-51.818,-61.818,0.02
-52,-61.838,0.02
-52.159,-61.841,0.02
-53.844,-61.844,0.02
-54,-61.848,0.02
-54.146,-61.854,0.02
-55.896,-61.896,0.02
-56,-61.9,0.02
-56.088,-61.912,0.02
-57.278,-62,0.02
-57.914,-62.086,0.02
-58,-62.094,0.02
-58.098,-62.098,0.02
-59.806,-62.194,0.02
-60,-62.203,0.02
-60.191,-62.191,0.02
-61.989,-62.011,0.02
-62,-62.01,0.02
-62.009,-62.009,0.02
-62.064,-62,0.02
-63.837,-61.837,0.02
-64,-61.81,0.02
-64.232,-61.768,0.02
-65.608,-61.608,0.02
-66,-61.523,0.02
-66.581,-61.419,0.02
-67.341,-61.341,0.02
-68,-61.199,0.02
-68.91,-61.09,0.02
-69.085,-61.085,0.02
-70,-60.95,0.02
-70.938,-60.938,0.02
-71.075,-60.925,0.02
-72,-60.912,0.02
-72.988,-60.988,0.02
-73.011,-60.989,0.02
-74,-61.069,0.02
-74.84,-61.16,0.02
-75.211,-61.211,0.02
-76,-61.301,0.02
-76.643,-61.357,0.02
-77.44,-61.44,0.02
-78,-61.491,0.02
-78.524,-61.476,0.02
-79.474,-61.474,0.02
-80,-61.457,0.02
-80.636,-61.364,0.02
