phi,psi,number
-91.854,-12.146,0.02
-91.93,-12,0.02
-91.955,-11.955,0.02
-92,-11.858,0.02
-92.709,-10.709,0.02
-93.047,-10,0.02
-93.392,-9.392,0.02
-94,-8.088,0.02
-94.033,-8.033,0.02
-94.05,-8,0.02
-94.09,-7.91,0.02
-94.68,-6.68,0.02
-94.942,-6,0.02
-95.229,-5.229,0.02
-95.433,-4.567,0.02
-95.625,-4,0.02
-95.699,-3.699,0.02
-96,-2.332,0.02
-96.073,-2.073,0.02
-96.092,-2,0.02
-96.109,-1.891,0.02
-96.344,-0.344,0.02
-96.397,0,0.02
-96.407,0.407,0.02
-96.423,1.577,0.02
-96.434,2,0.02
-96.405,2.405,0.02
-96.248,3.752,0.02
-96.229,4,0.02
-96.191,4.191,0.02
-96,4.917,0.02
-95.814,5.814,0.02
-95.758,6,0.02
-95.637,6.363,0.02
-95.356,7.356,0.02
-95.105,8,0.02
-94.795,8.795,0.02
-94.398,9.602,0.02
-94.218,10,0.02
-94.151,10.151,0.02
-94,10.381,0.02
-93.377,11.377,0.02
-92.889,12,0.02
-92.545,12.545,0.02
-92,13.243,0.02
-91.642,13.642,0.02
-91.212,14,0.02
-90.562,14.562,0.02
-90,14.998,0.02
-89.353,15.353,0.02
-88.068,15.932,0.02
-88,15.965,0.02
-87.972,15.972,0.02
-87.821,16,0.02
-86.313,16.313,0.02
-86,16.364,0.02
-85.672,16.328,0.02
-84.158,16.158,0.02
-84,16.141,0.02
-83.894,16.106,0.02
-83.64,16,0.02
