phi,psi,number
52.933,70,0.02
53.833,69.833,0.02
54,69.784,0.02
54.322,69.678,0.02
55.411,69.411,0.02
56,69.161,0.02
56.805,68.805,0.02
57.944,68.056,0.02
58,68.023,0.02
58.015,68.015,0.02
58.031,68,0.02
59.246,67.246,0.02
60,66.471,0.02
60.259,66.259,0.02
60.454,66,0.02
61.187,65.187,0.02
61.653,64.347,0.02
61.869,64,0.02
61.92,63.92,0.02
62,63.715,0.02
62.618,62.618,0.02
62.849,62,0.02
63.091,61.091,0.02
63.125,60.875,0.02
63.321,60,0.02
63.375,59.375,0.02
63.401,58.599,0.02
63.448,58,0.02
63.408,57.408,0.02
63.371,56.629,0.02
63.326,56,0.02
63.143,55.143,0.02
63.101,54.899,0.02
62.888,54,0.02
62.66,53.34,0.02
62,52.04,0.02
61.99,52.01,0.02
61.985,52,0.02
61.968,51.968,0.02
61.36,50.64,0.02
60.906,50,0.02
60.552,49.448,0.02
60,48.909,0.02
59.614,48.386,0.02
59.169,48,0.02
58.629,47.371,0.02
58,46.919,0.02
57.504,46.496,0.02
56.584,46,0.02
56.261,45.739,0.02
56,45.608,0.02
55.232,45.232,0.02
54.934,45.066,0.02
54,44.715,0.02
53.443,44.557,0.02
52.375,44.375,0.02
52,44.286,0.02
51.737,44.263,0.02
50.186,44.186,0.02
50,44.17,0.02
49.817,44.183,0.02
48.287,44.287,0.02
48,44.307,0.02
47.612,44.388,0.02
46.566,44.566,0.02
46,44.697,0.02
45.031,45.031,0.02
44.908,45.092,0.02
44,45.486,0.02
43.648,45.648,0.02
43.16,46,0.02
42.351,46.351,0.02
42,46.588,0.02
41.12,47.12,0.02
40.204,48,0.02
40.082,48.082,0.02
40,48.168,0.02
39.166,48.834,0.02
38.976,48.976,0.02
38.826,49.174,0.02
38.16,50,0.02
38.079,50.079,0.02
38,50.202,0.02
37.117,51.117,0.02
36.577,52,0.02
36.348,52.348,0.02
36,53.119,0.02
35.62,53.62,0.02
35.432,54,0.02
34.995,54.995,0.02
34.991,55.009,0.02
34.632,56,0.02
34.52,56.52,0.02
34.3,57.7,0.02
34.239,58,0.02
34.232,58.232,0.02
34.137,59.863,0.02
34.132,60,0.02
34.158,60.158,0.02
34.32,61.68,0.02
34.377,62,0.02
34.552,62.552,0.02
34.72,63.28,0.02
35.012,64,0.02
35.345,64.655,0.02
36,65.476,0.02
36.194,65.806,0.02
36.375,66,0.02
37.105,66.895,0.02
38,67.603,0.02
38.203,67.797,0.02
38.543,68,0.02
39.371,68.629,0.02
40,68.936,0.02
40.719,69.281,0.02
41.504,69.504,0.02
42,69.686,0.02
42.234,69.766,0.02
43.291,70,0.02
43.816,70.184,0.02
44,70.222,0.02
44.253,70.253,0.02
45.539,70.461,0.02
46,70.512,0.02
46.538,70.538,0.02
47.398,70.602,0.02
48,70.63,0.02
48.608,70.608,0.02
49.437,70.563,0.02
50,70.543,0.02
50.49,70.49,0.02
51.7,70.3,0.02
52,70.265,0.02
52.222,70.222,0.02
52.933,70,0.02
