phi,psi,number
-180,-172.196,0.001
-179.92,-172.08,0.001
-179.759,-172,0.001
-178.635,-171.365,0.001
-178,-170.961,0.001
-177.52,-170.48,0.001
-176.679,-170,0.001
-176.268,-169.732,0.001
-176,-169.625,0.001
-175.379,-169.379,0.001
-174.813,-169.187,0.001
-174,-168.797,0.001
-173.575,-168.425,0.001
-172.724,-168,0.001
-172.268,-167.732,0.001
-172,-167.638,0.001
-171.457,-167.457,0.001
-170.746,-167.254,0.001
-170,-166.967,0.001
-169.339,-166.661,0.001
-168.357,-166.357,0.001
-168,-166.223,0.001
-167.836,-166.164,0.001
-167.207,-166,0.001
-166.286,-165.714,0.001
-166,-165.65,0.001
-165.547,-165.547,0.001
-164.614,-165.386,0.001
-164,-165.227,0.001
-163.112,-165.112,0.001
-162.911,-165.089,0.001
-162,-164.967,0.001
-161.069,-164.931,0.001
-160.919,-164.919,0.001
-160,-164.881,0.001
-159.155,-164.845,0.001
-158.832,-164.832,0.001
-158,-164.797,0.001
-157.186,-164.814,0.001
-156.814,-164.814,0.001
-156,-164.832,0.001
-155.168,-164.832,0.001
-154.832,-164.832,0.001
-154,-164.832,0.001
-153.13,-164.87,0.001
-152.881,-164.881,0.001
-152,-164.919,0.001
-151.017,-164.983,0.001
-150.986,-164.986,0.001
-150,-165.047,0.001
-149.085,-165.085,0.001
-148.907,-165.093,0.001
-148,-165.131,0.001
-147.182,-165.182,0.001
-146.803,-165.197,0.001
-146,-165.245,0.001
-145.274,-165.274,0.001
-144.703,-165.297,0.001
-144,-165.325,0.001
-143.351,-165.351,0.001
-142.649,-165.351,0.001
-142,-165.375,0.001
-141.408,-165.408,0.001
-140.592,-165.408,0.001
-140,-165.438,0.001
-139.465,-165.465,0.001
-138.504,-165.496,0.001
-138,-165.521,0.001
-137.543,-165.543,0.001
-136.381,-165.619,0.001
-136,-165.638,0.001
-135.661,-165.661,0.001
-134.187,-165.813,0.001
-134,-165.826,0.001
-133.835,-165.835,0.001
-132.379,-166,0.001
-132.026,-166.026,0.001
-132,-166.028,0.001
-131.968,-166.032,0.001
-130.084,-166.084,0.001
-130,-166.098,0.001
-129.879,-166.121,0.001
-128.328,-166.328,0.001
-128,-166.398,0.001
-127.494,-166.506,0.001
-126.638,-166.638,0.001
-126,-166.797,0.001
-125.168,-166.832,0.001
-124.832,-166.832,0.001
-124,-166.87,0.001
-123.043,-166.957,0.001
-122.964,-166.964,0.001
-122,-167.052,0.001
-121.112,-167.112,0.001
-120.865,-167.135,0.001
-120,-167.197,0.001
-119.197,-167.197,0.001
-118.803,-167.197,0.001
-118,-167.197,0.001
-117.197,-167.197,0.001
-116.803,-167.197,0.001
-116,-167.197,0.001
-115.177,-167.177,0.001
-114.838,-167.162,0.001
-114,-167.143,0.001
-113.102,-167.102,0.001
-112.907,-167.093,0.001
-112,-167.052,0.001
-111.006,-167.006,0.001
-110.995,-167.005,0.001
-110,-166.964,0.001
-109.093,-166.907,0.001
-108.89,-166.89,0.001
-108,-166.832,0.001
-107.168,-166.832,0.001
-106.832,-166.832,0.001
-106,-166.832,0.001
-105.219,-166.781,0.001
-104.781,-166.781,0.001
-104,-166.736,0.001
-103.362,-166.638,0.001
-102.582,-166.582,0.001
-102,-166.505,0.001
-101.495,-166.505,0.001
-100.505,-166.505,0.001
-100,-166.505,0.001
-99.534,-166.466,0.001
-98.466,-166.466,0.001
-98,-166.432,0.001
-97.612,-166.388,0.001
-96.277,-166.277,0.001
-96,-166.247,0.001
-95.777,-166.223,0.001
-94.183,-166.183,0.001
-94,-166.166,0.001
-93.841,-166.159,0.001
-92.076,-166.076,0.001
-92,-166.073,0.001
-91.928,-166.072,0.001
-90.072,-166.072,0.001
-90,-166.071,0.001
-89.933,-166.067,0.001
-88.025,-166.025,0.001
-88,-166.024,0.001
-87.977,-166.023,0.001
-86.023,-166.023,0.001
-86,-166.023,0.001
-85.976,-166.024,0.001
-84.063,-166.063,0.001
-84,-166.064,0.001
-83.93,-166.07,0.001
-82.179,-166.179,0.001
-82,-166.194,0.001
-81.785,-166.215,0.001
-80.364,-166.365,0.001
-80,-166.399,0.001
-79.483,-166.517,0.001
-78.635,-166.635,0.001
-78,-166.819,0.001
-77.075,-167.075,0.001
-76.852,-167.148,0.001
-76,-167.404,0.001
-75.52,-167.52,0.001
-74.261,-168,0.001
-74.051,-168.051,0.001
-74,-168.068,0.001
-73.879,-168.121,0.001
-72.524,-168.524,0.001
-72,-168.898,0.001
-71.265,-169.265,0.001
-70.304,-169.696,0.001
-70,-169.838,0.001
-69.884,-169.884,0.001
-69.73,-170,0.001
-68.587,-170.587,0.001
-68,-171.112,0.001
-67.465,-171.465,0.001
-66.87,-172,0.001
-66.301,-172.301,0.001
-66,-172.563,0.001
-65.095,-173.095,0.001
-64.486,-173.514,0.001
-64,-173.838,0.001
-63.889,-173.889,0.001
-63.768,-174,0.001
-62.681,-174.681,0.001
-62,-175.326,0.001
-61.585,-175.585,0.001
-61.143,-176,0.001
-60.445,-176.445,0.001
-60,-176.967,0.001
-59.422,-177.422,0.001
-58.832,-178,0.001
-58.304,-178.304,0.001
-58,-178.617,0.001
-57.206,-179.206,0.001
-56.412,-180,0.001
