phi,psi,number
-77.011,84,0.02
-76.341,83.659,0.02
-76,83.452,0.02
-75.27,82.73,0.02
-74.664,82,0.02
-74.335,81.665,0.02
-74,81.196,0.02
-73.544,80.456,0.02
-73.341,80,0.02
-72.863,79.137,0.02
-72.678,78.678,0.02
-72.369,78,0.02
-72.249,77.751,0.02
-72,77.007,0.02
-71.734,76.266,0.02
-71.662,76,0.02
-71.551,75.551,0.02
-71.301,74.699,0.02
-71.148,74,0.02
-70.952,73.048,0.02
-70.942,72.942,0.02
-70.779,72,0.02
-70.662,71.338,0.02
-70.586,70.586,0.02
-70.494,70,0.02
-70.446,69.554,0.02
-70.336,68.336,0.02
-70.3,68,0.02
-70.282,67.718,0.02
-70.194,66.194,0.02
-70.181,66,0.02
-70.181,65.819,0.02
-70.165,64.165,0.02
-70.164,64,0.02
-70.173,63.827,0.02
-70.223,62.223,0.02
-70.236,62,0.02
-70.266,61.734,0.02
-70.396,60.396,0.02
-70.443,60,0.02
-70.531,59.469,0.02
-70.628,58.628,0.02
-70.746,58,0.02
-70.937,57.063,0.02
-70.952,56.952,0.02
-71.181,56,0.02
-71.361,55.361,0.02
-71.772,54.228,0.02
-71.845,54,0.02
-71.888,53.888,0.02
-72,53.639,0.02
-72.462,52.462,0.02
-72.706,52,0.02
-73.118,51.118,0.02
-73.528,50.472,0.02
-73.805,50,0.02
-73.879,49.879,0.02
-74,49.719,0.02
-74.749,48.749,0.02
-75.452,48,0.02
-75.699,47.699,0.02
-76,47.436,0.02
-76.855,46.855,0.02
-77.618,46.382,0.02
-78,46.14,0.02
-78.105,46.105,0.02
-78.445,46,0.02
-79.596,45.596,0.02
-80,45.476,0.02
-80.51,45.49,0.02
-81.545,45.545,0.02
-82,45.559,0.02
-82.328,45.672,0.02
-83.053,46,0.02
-83.734,46.266,0.02
-84,46.395,0.02
-84.911,47.089,0.02
-85.86,48,0.02
-85.937,48.063,0.02
-86,48.138,0.02
-86.791,49.209,0.02
-87.195,50,0.02
-87.501,50.499,0.02
-88,51.631,0.02
-88.119,51.881,0.02
-88.158,52,0.02
-88.22,52.22,0.02
-88.612,53.388,0.02
-88.759,54,0.02
-88.942,54.942,0.02
-88.967,55.033,0.02
-89.124,56,0.02
-89.257,56.743,0.02
-89.309,57.309,0.02
-89.416,58,0.02
-89.484,58.516,0.02
-89.57,59.57,0.02
-89.622,60,0.02
-89.661,60.339,0.02
-89.798,61.798,0.02
-89.82,62,0.02
-89.831,62.169,0.02
-89.905,63.905,0.02
-89.911,64,0.02
-89.911,64.089,0.02
-89.916,65.916,0.02
-89.917,66,0.02
-89.911,66.089,0.02
-89.835,67.835,0.02
-89.825,68,0.02
-89.795,68.205,0.02
-89.627,69.627,0.02
-89.57,70,0.02
-89.452,70.548,0.02
-89.324,71.324,0.02
-89.157,72,0.02
-88.923,72.923,0.02
-88.832,73.168,0.02
-88.577,74,0.02
-88.431,74.431,0.02
-88,75.46,0.02
-87.856,75.856,0.02
-87.79,76,0.02
-87.608,76.392,0.02
-87.253,77.253,0.02
-86.831,78,0.02
-86.58,78.58,0.02
-86,79.53,0.02
-85.815,79.815,0.02
-85.655,80,0.02
-84.98,80.98,0.02
-84.809,81.191,0.02
-84.166,82,0.02
-84.102,82.102,0.02
-84,82.218,0.02
-83.041,83.041,0.02
-82.66,83.34,0.02
-82,83.863,0.02
-81.903,83.903,0.02
-81.644,84,0.02
-80.505,84.505,0.02
-80,84.692,0.02
-79.347,84.653,0.02
-78.587,84.587,0.02
-78,84.55,0.02
-77.627,84.373,0.02
-77.011,84,0.02
