phi,psi,number
-173.453,-180,0.02
-172.887,-179.113,0.02
-172.241,-178.241,0.02
-172.067,-178,0.02
-172.042,-177.958,0.02
-172,-177.906,0.02
-171.227,-176.773,0.02
-170.548,-176,0.02
-170.31,-175.69,0.02
-170,-175.355,0.02
-169.401,-174.599,0.02
-168.773,-174,0.02
-168.409,-173.591,0.02
-168,-173.201,0.02
-167.417,-172.583,0.02
-166.689,-172,0.02
-166.334,-171.666,0.02
-166,-171.389,0.02
-165.222,-170.778,0.02
-164.007,-170,0.02
-164.003,-169.997,0.02
-164,-169.995,0.02
-163.987,-169.987,0.02
-162.791,-169.209,0.02
-162,-168.719,0.02
-161.542,-168.458,0.02
-160.613,-168,0.02
-160.233,-167.767,0.02
-160,-167.623,0.02
-159.154,-167.154,0.02
-158.958,-167.042,0.02
-158,-166.55,0.02
-157.623,-166.377,0.02
-156.66,-166,0.02
-156.206,-165.794,0.02
-156,-165.704,0.02
-155.525,-165.525,0.02
-154.772,-165.228,0.02
-154,-164.951,0.02
-153.226,-164.774,0.02
-152.652,-164.652,0.02
-152,-164.507,0.02
-151.538,-164.462,0.02
-150.367,-164.367,0.02
-150,-164.332,0.02
-149.661,-164.339,0.02
-148.356,-164.356,0.02
-148,-164.364,0.02
-147.59,-164.41,0.02
-146.505,-164.505,0.02
-146,-164.565,0.02
-145.315,-164.685,0.02
-144.767,-164.767,0.02
-144,-164.909,0.02
-143.116,-165.116,0.02
-142.798,-165.202,0.02
-142,-165.401,0.02
-141.522,-165.522,0.02
-140.009,-166,0.02
-140.002,-166.002,0.02
-140,-166.003,0.02
-139.996,-166.004,0.02
-138.456,-166.456,0.02
-138,-166.627,0.02
-137.121,-166.879,0.02
-136.927,-166.927,0.02
-136,-167.222,0.02
-135.378,-167.378,0.02
-134.326,-167.674,0.02
-134,-167.76,0.02
-133.802,-167.802,0.02
-132.991,-168,0.02
-132.172,-168.172,0.02
-132,-168.217,0.02
-131.714,-168.286,0.02
-130.547,-168.547,0.02
-130,-168.685,0.02
-129.157,-168.843,0.02
-128.888,-168.888,0.02
-128,-169.063,0.02
-127.19,-169.19,0.02
-126.739,-169.261,0.02
-126,-169.376,0.02
-125.468,-169.468,0.02
-124.373,-169.627,0.02
-124,-169.689,0.02
-123.749,-169.749,0.02
-122.555,-170,0.02
-122.087,-170.087,0.02
-122,-170.106,0.02
-121.855,-170.145,0.02
-120.506,-170.506,0.02
-120,-170.642,0.02
-119.164,-170.836,0.02
-118.897,-170.897,0.02
-118,-171.107,0.02
-117.269,-171.269,0.02
-116.585,-171.415,0.02
-116,-171.543,0.02
-115.627,-171.627,0.02
-114.015,-171.985,0.02
-114,-171.988,0.02
-113.99,-171.99,0.02
-113.92,-172,0.02
-112.236,-172.236,0.02
-112,-172.257,0.02
-111.746,-172.254,0.02
-110.286,-172.286,0.02
-110,-172.283,0.02
-109.736,-172.264,0.02
-108.144,-172.144,0.02
-108,-172.134,0.02
-107.871,-172.129,0.02
-106.018,-172.018,0.02
-106,-172.017,0.02
-105.984,-172.016,0.02
-105.602,-172,0.02
-104.084,-171.916,0.02
-104,-171.907,0.02
-103.893,-171.893,0.02
-102.285,-171.715,0.02
-102,-171.677,0.02
-101.578,-171.578,0.02
-100.66,-171.34,0.02
-100,-171.194,0.02
-99.107,-170.893,0.02
-98.817,-170.817,0.02
-98,-170.57,0.02
-97.603,-170.397,0.02
-96.283,-170,0.02
-96.075,-169.925,0.02
-96,-169.903,0.02
-95.831,-169.831,0.02
-94.706,-169.294,0.02
-94,-169.045,0.02
-93.248,-168.752,0.02
-92.59,-168.59,0.02
-92,-168.403,0.02
-91.693,-168.307,0.02
-90.017,-168.017,0.02
-90,-168.013,0.02
-89.989,-168.011,0.02
-89.865,-168,0.02
-88.175,-167.825,0.02
-88,-167.82,0.02
-87.829,-167.829,0.02
-86.167,-167.833,0.02
-86,-167.842,0.02
-85.863,-167.863,0.02
-84.783,-168,0.02
-84.072,-168.072,0.02
-84,-168.076,0.02
-83.901,-168.099,0.02
-82.429,-168.429,0.02
-82,-168.532,0.02
-81.105,-168.895,0.02
-80.952,-168.952,0.02
-80,-169.376,0.02
-79.585,-169.585,0.02
-78.957,-170,0.02
-78.346,-170.346,0.02
-78,-170.616,0.02
-77.238,-171.238,0.02
-76.475,-172,0.02
-76.224,-172.224,0.02
-76,-172.488,0.02
-75.271,-173.271,0.02
-74.714,-174,0.02
-74.382,-174.382,0.02
-74,-174.928,0.02
-73.499,-175.499,0.02
-73.13,-176,0.02
-72.589,-176.589,0.02
-72,-177.388,0.02
-71.711,-177.711,0.02
-71.513,-178,0.02
-70.783,-178.783,0.02
-70,-179.832,0.02
-69.917,-179.917,0.02
-69.862,-180,0.02
