phi,psi,number
-57.61,180,0.001
-56.811,179.189,0.001
-56.567,178.567,0.001
-56.265,178,0.001
-56.135,177.865,0.001
-56,177.613,0.001
-55.151,176.849,0.001
-54.716,176,0.001
-54.42,175.58,0.001
-54,174.365,0.001
-53.817,174.183,0.001
-53.728,174,0.001
-52.981,173.019,0.001
-52.969,172.969,0.001
-52.571,172,0.001
-52.343,171.657,0.001
-52,170.746,0.001
-51.633,170.367,0.001
-51.468,170,0.001
-50.846,169.154,0.001
-50.735,168.735,0.001
-50.425,168,0.001
-50.24,167.76,0.001
-50,167.125,0.001
-49.435,166.565,0.001
-49.143,166,0.001
-48.633,165.367,0.001
-48.221,164.221,0.001
-48.113,164,0.001
-48.054,163.946,0.001
-48,163.833,0.001
-47.045,162.955,0.001
-46.564,162,0.001
-46.316,161.684,0.001
-46,160.932,0.001
-45.511,160.489,0.001
-45.247,160,0.001
-44.746,159.254,0.001
-44.553,158.553,0.001
-44.324,158,0.001
-44.19,157.81,0.001
-44,157.311,0.001
-43.349,156.651,0.001
-43.008,156,0.001
-42.539,155.461,0.001
-42,154.282,0.001
-41.86,154.14,0.001
-41.79,154,0.001
-41.091,153.091,0.001
-41.008,152.992,0.001
-40.606,152,0.001
-40.39,151.61,0.001
-40,150.404,0.001
-39.81,150.19,0.001
-39.72,150,0.001
-39.2,149.2,0.001
-39.031,148.969,0.001
-38.642,148,0.001
-38.38,147.62,0.001
-38,146.874,0.001
-37.524,146.476,0.001
-37.24,146,0.001
-36.635,145.365,0.001
-36,144.179,0.001
-35.908,144.092,0.001
-35.856,144,0.001
-34.995,143.005,0.001
-34.99,142.99,0.001
-34.515,142,0.001
-34.304,141.696,0.001
-34,141.031,0.001
-33.484,140.516,0.001
-33.212,140,0.001
-32.722,139.278,0.001
-32.414,138.414,0.001
-32.223,138,0.001
-32.14,137.86,0.001
-32,137.522,0.001
-31.32,136.68,0.001
-31.002,136,0.001
-30.618,135.382,0.001
-30.169,134.169,0.001
-30.092,134,0.001
-30.06,133.94,0.001
-30,133.796,0.001
-29.213,132.787,0.001
-28.848,132,0.001
-28.511,131.489,0.001
-28,130.404,0.001
-27.798,130.202,0.001
-27.685,130,0.001
-27.2,129.2,0.001
-27.039,128.961,0.001
-26.629,128,0.001
-26.409,127.591,0.001
-26,126.597,0.001
-25.731,126.269,0.001
-25.608,126,0.001
-25.41,125.41,0.001
-25.176,124.824,0.001
-24.948,124,0.001
-24.795,123.205,0.001
-24.74,122.74,0.001
-24.615,122,0.001
-24.567,121.433,0.001
-24.476,120.476,0.001
-24.435,120,0.001
-24.484,119.516,0.001
-24.525,118.525,0.001
-24.585,118,0.001
-24.707,117.293,0.001
-24.77,116.77,0.001
-24.921,116,0.001
-25.178,115.178,0.001
-25.559,114.441,0.001
-25.748,114,0.001
-25.828,113.828,0.001
-26,113.643,0.001
-26.613,112.613,0.001
-27.118,112,0.001
-27.474,111.474,0.001
-28,111.062,0.001
-28.505,110.505,0.001
-29.175,110,0.001
-29.571,109.571,0.001
-30,109.339,0.001
-30.84,108.84,0.001
-31.366,108.634,0.001
-32,108.342,0.001
-32.217,108.217,0.001
-32.809,108,0.001
-33.56,107.56,0.001
-34,107.428,0.001
-34.76,107.24,0.001
-35.123,107.123,0.001
-36,106.945,0.001
-36.747,106.747,0.001
-37.341,106.659,0.001
-38,106.514,0.001
-38.414,106.414,0.001
-39.794,106.206,0.001
-40,106.163,0.001
-40.132,106.132,0.001
-40.806,106,0.001
-41.682,105.682,0.001
-42,105.619,0.001
-42.499,105.501,0.001
-43.259,105.259,0.001
-44,105.118,0.001
-44.885,104.885,0.001
-45.162,104.838,0.001
-46,104.648,0.001
-46.474,104.474,0.001
-47.85,104.15,0.001
-48,104.105,0.001
-48.076,104.076,0.001
-48.315,104,0.001
-49.417,103.417,0.001
-50,103.25,0.001
-50.919,102.919,0.001
-51.115,102.885,0.001
-52,102.644,0.001
-52.466,102.466,0.001
-53.915,102.085,0.001
-54,102.057,0.001
-54.041,102.041,0.001
-54.183,102,0.001
-55.353,101.353,0.001
-56,101.132,0.001
-56.692,100.692,0.001
-57.578,100.422,0.001
-58,100.244,0.001
-58.127,100.127,0.001
-58.316,100,0.001
-59.022,99.022,0.001
-60,98.285,0.001
-60.112,98.112,0.001
-60.207,98,0.001
-60.39,97.61,0.001
-60.718,96.718,0.001
-61.212,96,0.001
-61.457,95.457,0.001
-62,94.77,0.001
-62.205,94.205,0.001
-62.309,94,0.001
-62.458,93.542,0.001
-62.655,92.655,0.001
-62.942,92,0.001
-63.187,91.187,0.001
-63.523,90.477,0.001
-63.71,90,0.001
-63.789,89.789,0.001
-64,89.475,0.001
-64.296,88.296,0.001
-64.379,88,0.001
-64.448,87.552,0.001
-64.569,86.569,0.001
-64.664,86,0.001
-64.777,85.223,0.001
-64.813,84.813,0.001
-64.949,84,0.001
-64.998,83.002,0.001
-64.998,82.998,0.001
-65.049,82,0.001
-64.972,81.028,0.001
-64.971,80.971,0.001
-64.9,80,0.001
-64.84,79.16,0.001
-64.824,78.824,0.001
-64.767,78,0.001
-64.776,77.224,0.001
-64.772,76.772,0.001
-64.783,76,0.001
-64.884,75.116,0.001
-64.894,74.894,0.001
-65.015,74,0.001
-65.151,73.151,0.001
-65.265,72.735,0.001
-65.408,72,0.001
-65.506,71.506,0.001
-66,70.21,0.001
-66.027,70.027,0.001
-66.034,70,0.001
-66.042,69.958,0.001
-66.248,68.248,0.001
-66.309,68,0.001
-66.344,67.656,0.001
-66.431,66.431,0.001
-66.476,66,0.001
-66.524,65.476,0.001
-66.567,64.567,0.001
-66.624,64,0.001
-66.691,63.309,0.001
-66.718,62.718,0.001
-66.796,62,0.001
-66.864,61.136,0.001
-66.866,60.866,0.001
-66.945,60,0.001
-66.99,59.01,0.001
-66.99,58.99,0.001
-67.041,58,0.001
-67.031,57.031,0.001
-67.033,56.967,0.001
-67.023,56,0.001
-67.017,55.017,0.001
-67.017,54.983,0.001
-67.011,54,0.001
-67.067,53.067,0.001
-67.079,52.921,0.001
-67.137,52,0.001
-67.249,51.249,0.001
-67.392,50.608,0.001
-67.495,50,0.001
-67.597,49.597,0.001
-68,48.67,0.001
-68.125,48.125,0.001
-68.155,48,0.001
-68.218,47.782,0.001
-68.5,46.5,0.001
-68.675,46,0.001
