phi,psi,number
75.621,172,0.001
75.897,171.897,0.001
76,171.874,0.001
76.142,171.858,0.001
77.686,171.686,0.001
78,171.652,0.001
78.896,171.104,0.001
79.023,171.023,0.001
80,170.486,0.001
80.324,170.324,0.001
80.811,170,0.001
81.405,169.405,0.001
82,168.811,0.001
82.374,168.374,0.001
82.811,168,0.001
83.405,167.405,0.001
84,166.811,0.001
84.324,166.324,0.001
84.486,166,0.001
85.023,165.023,0.001
85.104,164.896,0.001
85.652,164,0.001
85.727,163.727,0.001
86,163.216,0.001
86.324,162.324,0.001
86.405,162,0.001
86.442,161.558,0.001
86.442,160.442,0.001
86.486,160,0.001
86.572,159.428,0.001
86.654,158.654,0.001
86.763,158,0.001
86.763,157.237,0.001
86.763,156.763,0.001
86.763,156,0.001
86.654,155.346,0.001
86.572,154.572,0.001
86.486,154,0.001
86.36,153.64,0.001
86,152.784,0.001
85.727,152.273,0.001
85.652,152,0.001
85.373,151.373,0.001
85.169,150.831,0.001
84.695,150,0.001
84.405,149.595,0.001
84,148.784,0.001
83.67,148.33,0.001
83.373,148,0.001
82.572,147.428,0.001
82,146.856,0.001
81.533,146.467,0.001
80.973,146,0.001
80.374,145.626,0.001
80,145.392,0.001
79.032,144.968,0.001
78.896,144.896,0.001
78,144.448,0.001
77.652,144.348,0.001
76.162,144.162,0.001
76,144.126,0.001
75.88,144.12,0.001
74.864,144,0.001
74.082,143.918,0.001
74,143.914,0.001
73.918,143.918,0.001
73.136,144,0.001
72.12,144.12,0.001
72,144.126,0.001
71.858,144.142,0.001
70.314,144.314,0.001
70,144.348,0.001
69.373,144.627,0.001
68.831,144.831,0.001
68,145.305,0.001
67.577,145.577,0.001
66.784,146,0.001
66.261,146.261,0.001
66,146.348,0.001
65.071,147.071,0.001
64.142,148,0.001
64.084,148.084,0.001
64,148.142,0.001
63.071,149.071,0.001
62.348,150,0.001
62.251,150.251,0.001
62,150.627,0.001
61.472,151.472,0.001
61.142,152,0.001
60.761,152.761,0.001
60.523,153.477,0.001
60.314,154,0.001
60.273,154.273,0.001
60,155.045,0.001
59.788,155.788,0.001
59.74,156,0.001
59.714,156.286,0.001
59.595,157.595,0.001
59.558,158,0.001
59.577,158.423,0.001
59.577,159.577,0.001
59.595,160,0.001
59.64,160.36,0.001
60,161.621,0.001
60.103,161.897,0.001
60.126,162,0.001
60.142,162.142,0.001
60.314,163.686,0.001
60.348,164,0.001
60.896,164.896,0.001
60.977,165.023,0.001
61.514,166,0.001
61.676,166.324,0.001
62,166.811,0.001
62.595,167.405,0.001
63.189,168,0.001
63.611,168.389,0.001
64,168.811,0.001
64.595,169.405,0.001
65.189,170,0.001
65.653,170.347,0.001
66,170.608,0.001
66.891,171.109,0.001
67.303,171.303,0.001
68,171.652,0.001
68.314,171.686,0.001
69.858,171.858,0.001
70,171.874,0.001
70.103,171.897,0.001
70.379,172,0.001
71.611,172.389,0.001
72,172.486,0.001
72.486,172.486,0.001
73.514,172.486,0.001
74,172.486,0.001
74.389,172.389,0.001
75.621,172,0.001
