phi,psi,number
-67.042,180,0.02
-66.432,179.568,0.02
-66,179.159,0.02
-65.362,178.638,0.02
-64.803,178,0.02
-64.356,177.644,0.02
-64,177.252,0.02
-63.334,176.666,0.02
-62.805,176,0.02
-62.373,175.627,0.02
-62,175.17,0.02
-61.387,174.613,0.02
-60.917,174,0.02
-60.437,173.563,0.02
-60,172.945,0.02
-59.52,172.48,0.02
-59.179,172,0.02
-58.575,171.425,0.02
-58,170.52,0.02
-57.737,170.263,0.02
-57.564,170,0.02
-56.783,169.217,0.02
-56.101,168.101,0.02
-56.033,168,0.02
-56.016,167.984,0.02
-56,167.956,0.02
-55.069,166.931,0.02
-54.512,166,0.02
-54.27,165.73,0.02
-54,165.209,0.02
-53.439,164.561,0.02
-53.143,164,0.02
-52.65,163.35,0.02
-52.079,162.079,0.02
-52.037,162,0.02
-52.02,161.98,0.02
-52,161.935,0.02
-51.14,160.86,0.02
-50.689,160,0.02
-50.388,159.612,0.02
-50,158.653,0.02
-49.72,158.28,0.02
-49.603,158,0.02
-48.984,157.016,0.02
-48.967,156.967,0.02
-48.542,156,0.02
-48.337,155.663,0.02
-48,154.476,0.02
-47.819,154.181,0.02
-47.76,154,0.02
-47.524,153.524,0.02
-47.14,152.86,0.02
-46.835,152,0.02
-46.548,151.452,0.02
-46.219,150.219,0.02
-46.138,150,0.02
-46.091,149.909,0.02
-46,149.606,0.02
-45.359,148.641,0.02
-45.118,148,0.02
-44.723,147.277,0.02
-44.448,146.448,0.02
-44.263,146,0.02
-44.166,145.834,0.02
-44,145.308,0.02
-43.472,144.528,0.02
-43.274,144,0.02
-42.855,143.145,0.02
-42.739,142.739,0.02
-42.464,142,0.02
-42.322,141.678,0.02
-42,140.424,0.02
-41.848,140.152,0.02
-41.8,140,0.02
-41.697,139.697,0.02
-41.289,138.711,0.02
-41.096,138,0.02
-40.864,137.136,0.02
-40.796,136.796,0.02
-40.604,136,0.02
-40.501,135.499,0.02
-40.338,134.338,0.02
-40.276,134,0.02
-40.249,133.751,0.02
-40.071,132.071,0.02
-40.063,132,0.02
-40.063,131.937,0.02
-40,130.483,0.02
-39.966,130.034,0.02
-39.963,130,0.02
-39.965,129.965,0.02
-40,129.445,0.02
-40.057,128.057,0.02
-40.063,128,0.02
-40.079,127.921,0.02
-40.304,126.304,0.02
-40.378,126,0.02
-40.545,125.455,0.02
-40.715,124.715,0.02
-40.99,124,0.02
-41.306,123.306,0.02
-42,122.201,0.02
-42.064,122.064,0.02
-42.112,122,0.02
-42.304,121.696,0.02
-42.806,120.806,0.02
-43.537,120,0.02
-43.736,119.736,0.02
-44,119.476,0.02
-44.704,118.704,0.02
-45.671,118,0.02
-45.842,117.842,0.02
-46,117.732,0.02
-46.894,117.106,0.02
-47.015,117.015,0.02
-48,116.511,0.02
-48.351,116.351,0.02
-49.308,116,0.02
-49.766,115.766,0.02
-50,115.672,0.02
-50.458,115.542,0.02
-51.279,115.279,0.02
-52,115.095,0.02
-52.947,114.947,0.02
-53.065,114.935,0.02
-54,114.803,0.02
-54.736,114.736,0.02
-55.301,114.699,0.02
-56,114.638,0.02
-56.599,114.599,0.02
-57.462,114.538,0.02
-58,114.502,0.02
-58.46,114.46,0.02
-59.694,114.306,0.02
-60,114.277,0.02
-60.236,114.236,0.02
-61.415,114,0.02
-61.861,113.861,0.02
-62,113.812,0.02
-62.339,113.661,0.02
-63.249,113.249,0.02
-64,112.924,0.02
-64.573,112.573,0.02
-65.471,112,0.02
-65.747,111.747,0.02
-66,111.547,0.02
-66.813,110.813,0.02
-67.706,110,0.02
-67.844,109.844,0.02
-68,109.699,0.02
-68.884,108.884,0.02
-69.819,108,0.02
-69.904,107.904,0.02
-70,107.818,0.02
-70.762,107.238,0.02
-71.032,107.032,0.02
-72,106.294,0.02
-72.197,106.197,0.02
-72.586,106,0.02
-73.493,105.493,0.02
-74,105.23,0.02
-74.936,105.064,0.02
-75.05,105.05,0.02
-76,104.857,0.02
-76.938,105.062,0.02
-77.104,105.104,0.02
-78,105.311,0.02
-78.424,105.576,0.02
-78.983,106,0.02
-79.574,106.426,0.02
-80,106.795,0.02
-80.528,107.472,0.02
-80.854,108,0.02
-81.319,108.681,0.02
-82,109.827,0.02
-82.062,109.938,0.02
-82.084,110,0.02
-82.14,110.14,0.02
-82.652,111.348,0.02
-82.891,112,0.02
-83.206,112.794,0.02
-83.432,113.432,0.02
-83.644,114,0.02
-83.738,114.262,0.02
-84,115.079,0.02
