phi,psi,number
52.435,64,0.02
53.952,63.952,0.02
54,63.947,0.02
54.069,63.931,0.02
55.669,63.669,0.02
56,63.574,0.02
56.74,63.26,0.02
57.124,63.124,0.02
58,62.652,0.02
58.386,62.386,0.02
58.818,62,0.02
59.511,61.511,0.02
60,60.971,0.02
60.447,60.447,0.02
60.726,60,0.02
61.279,59.279,0.02
61.804,58.196,0.02
61.913,58,0.02
61.946,57.946,0.02
62,57.808,0.02
62.58,56.58,0.02
62.778,56,0.02
63.137,55.137,0.02
63.262,54.738,0.02
63.527,54,0.02
63.664,53.664,0.02
64,52.494,0.02
64.146,52.146,0.02
64.19,52,0.02
64.318,51.682,0.02
64.747,50.747,0.02
64.994,50,0.02
65.296,49.296,0.02
65.543,48.457,0.02
65.706,48,0.02
65.792,47.792,0.02
66,47.069,0.02
66.324,46.324,0.02
66.421,46,0.02
66.698,45.302,0.02
66.884,44.884,0.02
67.183,44,0.02
67.417,43.417,0.02
67.735,42.265,0.02
67.824,42,0.02
67.872,41.872,0.02
68,41.343,0.02
68.389,40.389,0.02
68.506,40,0.02
68.835,39.165,0.02
68.935,38.935,0.02
69.257,38,0.02
69.488,37.488,0.02
70,36.01,0.02
70.004,36.004,0.02
70.005,36,0.02
70.011,35.989,0.02
70.723,34.723,0.02
71.024,34,0.02
71.325,33.325,0.02
71.661,32.339,0.02
71.792,32,0.02
71.847,31.847,0.02
72,31.284,0.02
72.359,30.359,0.02
72.461,30,0.02
72.652,29.348,0.02
72.821,28.821,0.02
73.043,28,0.02
73.258,27.258,0.02
73.426,26.574,0.02
73.581,26,0.02
73.674,25.674,0.02
74,24.296,0.02
74.075,24.075,0.02
74.095,24,0.02
74.148,23.852,0.02
74.637,22.637,0.02
74.833,22,0.02
75.16,21.16,0.02
75.308,20.692,0.02
75.551,20,0.02
75.66,19.66,0.02
76,18.357,0.02
76.096,18.096,0.02
76.122,18,0.02
76.164,17.836,0.02
76.536,16.536,0.02
76.662,16,0.02
76.887,15.113,0.02
76.934,14.934,0.02
77.165,14,0.02
77.35,13.35,0.02
77.579,12.421,0.02
77.692,12,0.02
77.762,11.762,0.02
78,10.888,0.02
78.232,10.232,0.02
78.303,10,0.02
78.474,9.526,0.02
78.763,8.763,0.02
79.026,8,0.02
79.244,7.244,0.02
79.426,6.574,0.02
79.587,6,0.02
79.644,5.644,0.02
79.92,4.08,0.02
79.933,4,0.02
79.935,3.935,0.02
80,3.173,0.02
80.107,2.107,0.02
80.123,2,0.02
80.136,1.864,0.02
80.201,0.201,0.02
80.223,0,0.02
80.229,-0.229,0.02
80.152,-1.848,0.02
80.156,-2,0.02
80.145,-2.145,0.02
80,-3.023,0.02
79.842,-3.842,0.02
79.77,-4,0.02
79.432,-4.568,0.02
79.141,-5.141,0.02
78.354,-6,0.02
78.17,-6.17,0.02
78,-6.281,0.02
77.707,-6.293,0.02
76.492,-6.492,0.02
76,-6.508,0.02
75.659,-6.341,0.02
74.743,-6,0.02
74.192,-5.808,0.02
74,-5.761,0.02
73.131,-5.131,0.02
72.98,-5.02,0.02
72,-4.349,0.02
71.824,-4.176,0.02
71.651,-4,0.02
70.732,-3.268,0.02
70,-2.658,0.02
69.67,-2.33,0.02
69.379,-2,0.02
68.653,-1.347,0.02
68,-0.647,0.02
67.687,-0.313,0.02
67.464,0,0.02
66.765,0.765,0.02
66,1.783,0.02
65.898,1.898,0.02
65.836,2,0.02
65.166,2.834,0.02
65.016,3.016,0.02
64.354,4,0.02
64.19,4.19,0.02
64,4.466,0.02
63.315,5.315,0.02
62.902,6,0.02
62.488,6.488,0.02
62,7.25,0.02
61.653,7.653,0.02
61.461,8,0.02
60.804,8.804,0.02
60.237,9.763,0.02
60.086,10,0.02
60.048,10.048,0.02
60,10.128,0.02
59.158,11.158,0.02
58.669,12,0.02
58.386,12.386,0.02
58,13.088,0.02
57.591,13.591,0.02
57.381,14,0.02
56.791,14.791,0.02
56.3,15.7,0.02
56.124,16,0.02
56.072,16.072,0.02
56,16.204,0.02
55.221,17.221,0.02
54.817,18,0.02
54.495,18.495,0.02
54,19.552,0.02
53.803,19.803,0.02
53.711,20,0.02
53.178,20.822,0.02
53.032,21.032,0.02
52.551,22,0.02
52.337,22.337,0.02
52,23.093,0.02
51.618,23.618,0.02
51.444,24,0.02
50.855,24.855,0.02
50.586,25.414,0.02
50.271,26,0.02
50.16,26.16,0.02
50,26.509,0.02
49.392,27.392,0.02
49.129,28,0.02
48.723,28.723,0.02
48.402,29.598,0.02
48.226,30,0.02
48.143,30.143,0.02
48,30.571,0.02
47.47,31.47,0.02
47.27,32,0.02
46.802,32.802,0.02
46.574,33.426,0.02
46.321,34,0.02
46.191,34.191,0.02
46,34.709,0.02
45.454,35.454,0.02
45.218,36,0.02
44.699,36.699,0.02
44.247,37.753,0.02
44.12,38,0.02
44.068,38.068,0.02
44,38.24,0.02
43.229,39.229,0.02
42.853,40,0.02
42.522,40.522,0.02
42,41.808,0.02
41.916,41.916,0.02
41.879,42,0.02
41.782,42.218,0.02
41.242,43.242,0.02
40.988,44,0.02
40.756,44.756,0.02
40.613,45.387,0.02
40.447,46,0.02
40.367,46.367,0.02
40.039,47.961,0.02
40.031,48,0.02
40.026,48.026,0.02
40,48.166,0.02
39.573,49.573,0.02
39.463,50,0.02
39.3,50.7,0.02
39.185,51.185,0.02
38.998,52,0.02
38.892,52.892,0.02
38.847,53.153,0.02
38.737,54,0.02
38.776,54.776,0.02
38.765,55.235,0.02
38.811,56,0.02
39.042,56.958,0.02
39.09,57.09,0.02
39.359,58,0.02
39.558,58.442,0.02
40,59.17,0.02
40.306,59.694,0.02
40.599,60,0.02
41.301,60.699,0.02
42,61.256,0.02
