phi,psi,number
-97.36,48,0.02
-96.34,47.66,0.02
-96,47.571,0.02
-95.372,47.372,0.02
-94.77,47.23,0.02
-94,46.923,0.02
-93.497,46.503,0.02
-92.847,46,0.02
-92.303,45.697,0.02
-92,45.558,0.02
-91.081,44.919,0.02
-90.009,44,0.02
-90.004,43.996,0.02
-90,43.994,0.02
-89.971,43.971,0.02
-88.865,43.135,0.02
-88,42.292,0.02
-87.852,42.148,0.02
-87.757,42,0.02
-86.878,41.122,0.02
-86,40.167,0.02
-85.915,40.085,0.02
-85.863,40,0.02
-85.232,39.232,0.02
-85.021,38.979,0.02
-84.317,38,0.02
-84.181,37.819,0.02
-84,37.624,0.02
-83.263,36.737,0.02
-82.846,36,0.02
-82.536,35.464,0.02
-82,34.602,0.02
-81.729,34.271,0.02
-81.593,34,0.02
-80.985,33.015,0.02
-80.951,32.951,0.02
-80.425,32,0.02
-80.254,31.746,0.02
-80,31.149,0.02
-79.588,30.412,0.02
-79.44,30,0.02
-78.913,29.087,0.02
-78.791,28.791,0.02
-78.42,28,0.02
-78.249,27.751,0.02
-78,27.28,0.02
-77.461,26.539,0.02
-77.237,26,0.02
-76.813,25.187,0.02
-76.515,24.515,0.02
-76.272,24,0.02
-76.147,23.853,0.02
-76,23.584,0.02
-75.282,22.718,0.02
-74.944,22,0.02
-74.614,21.386,0.02
-74,20.216,0.02
-73.897,20.103,0.02
-73.846,20,0.02
-73.656,19.656,0.02
-73.157,18.843,0.02
-72.803,18,0.02
-72.539,17.461,0.02
-72,16.254,0.02
-71.889,16.111,0.02
-71.842,16,0.02
-71.701,15.701,0.02
-71.202,14.798,0.02
-70.923,14,0.02
-70.674,13.326,0.02
-70.268,12.268,0.02
-70.167,12,0.02
-70.107,11.893,0.02
-70,11.629,0.02
-69.398,10.602,0.02
-69.185,10,0.02
-68.862,9.138,0.02
-68.66,8.66,0.02
-68.394,8,0.02
-68.279,7.721,0.02
-68,6.99,0.02
-67.67,6.33,0.02
-67.547,6,0.02
-67.12,5.12,0.02
-67.037,4.963,0.02
-66.638,4,0.02
-66.463,3.537,0.02
-66,2.365,0.02
-65.867,2.133,0.02
-65.817,2,0.02
-65.656,1.656,0.02
-65.196,0.804,0.02
-64.909,0,0.02
-64.664,-0.664,0.02
-64.242,-1.758,0.02
-64.15,-2,0.02
-64.099,-2.099,0.02
-64,-2.308,0.02
-63.379,-3.379,0.02
-63.154,-4,0.02
-62.832,-4.832,0.02
-62.634,-5.366,0.02
-62.394,-6,0.02
-62.286,-6.286,0.02
-62,-7.01,0.02
-61.663,-7.663,0.02
-61.547,-8,0.02
-61.095,-8.905,0.02
-61.029,-9.029,0.02
-60.604,-10,0.02
-60.456,-10.456,0.02
-60,-11.611,0.02
-59.866,-11.866,0.02
-59.818,-12,0.02
-59.715,-12.285,0.02
-59.29,-13.29,0.02
-59.081,-14,0.02
-58.86,-14.86,0.02
-58.747,-15.253,0.02
-58.545,-16,0.02
-58.492,-16.492,0.02
-58.328,-17.672,0.02
-58.29,-18,0.02
-58.264,-18.264,0.02
-58.071,-19.929,0.02
-58.064,-20,0.02
-58.064,-20.064,0.02
-58.005,-21.995,0.02
-58.005,-22,0.02
-58.006,-22.006,0.02
-58.179,-23.821,0.02
-58.193,-24,0.02
-58.237,-24.237,0.02
-58.449,-25.551,0.02
-58.539,-26,0.02
-58.829,-26.829,0.02
-58.906,-27.094,0.02
-59.286,-28,0.02
-59.511,-28.489,0.02
-60,-29.487,0.02
-60.16,-29.84,0.02
-60.237,-30,0.02
-60.616,-30.616,0.02
-60.899,-31.101,0.02
-61.553,-32,0.02
-61.734,-32.266,0.02
-62,-32.547,0.02
-62.688,-33.312,0.02
-63.453,-34,0.02
-63.73,-34.27,0.02
-64,-34.469,0.02
-64.881,-35.119,0.02
-65.413,-35.413,0.02
-66,-35.763,0.02
-66.166,-35.834,0.02
-66.513,-36,0.02
-67.504,-36.496,0.02
-68,-36.714,0.02
-68.919,-37.081,0.02
-69.149,-37.149,0.02
-70,-37.443,0.02
-70.468,-37.532,0.02
-71.749,-37.749,0.02
-72,-37.795,0.02
-72.192,-37.807,0.02
-73.923,-37.923,0.02
-74,-37.928,0.02
-74.076,-37.924,0.02
-75.81,-37.81,0.02
-76,-37.801,0.02
-76.232,-37.768,0.02
-77.59,-37.59,0.02
-78,-37.528,0.02
-78.659,-37.341,0.02
-79.186,-37.186,0.02
-80,-36.963,0.02
-80.719,-36.719,0.02
-81.752,-36.248,0.02
-82,-36.148,0.02
-82.107,-36.107,0.02
-82.32,-36,0.02
-83.496,-35.496,0.02
-84,-35.28,0.02
-84.763,-34.763,0.02
-85.707,-34,0.02
-85.876,-33.876,0.02
-86,-33.801,0.02
-86.536,-33.464,0.02
-87.112,-33.112,0.02
-88,-32.494,0.02
-88.308,-32.308,0.02
-88.602,-32,0.02
-89.41,-31.41,0.02
-90,-30.995,0.02
-90.612,-30.612,0.02
-91.327,-30,0.02
-91.703,-29.703,0.02
-92,-29.479,0.02
-92.819,-28.819,0.02
-93.581,-28,0.02
-93.814,-27.814,0.02
-94,-27.653,0.02
-94.933,-26.933,0.02
-95.808,-26,0.02
-95.916,-25.916,0.02
-96,-25.829,0.02
-96.725,-25.275,0.02
-97.041,-25.041,0.02
-98,-24.132,0.02
-98.076,-24.076,0.02
-98.132,-24,0.02
-99.126,-23.126,0.02
-100,-22.195,0.02
-100.113,-22.113,0.02
-100.195,-22,0.02
-101.133,-21.133,0.02
-102,-20.195,0.02
-102.112,-20.112,0.02
-102.195,-20,0.02
-103.074,-19.074,0.02
-103.964,-18.036,0.02
-103.995,-18,0.02
-103.998,-17.998,0.02
-104,-17.994,0.02
-104.956,-16.956,0.02
-105.653,-16,0.02
-105.822,-15.822,0.02
-106,-15.62,0.02
-106.81,-14.81,0.02
-107.364,-14,0.02
-107.61,-13.61,0.02
-108,-13.105,0.02
-108.51,-12.51,0.02
-108.785,-12,0.02
-109.249,-11.249,0.02
-110,-10.077,0.02
-110.037,-10.037,0.02
-110.056,-10,0.02
-110.131,-9.869,0.02
-110.79,-8.79,0.02
-111.175,-8,0.02
-111.426,-7.426,0.02
-112,-6.213,0.02
-112.084,-6.084,0.02
-112.12,-6,0.02
-112.197,-5.803,0.02
-112.696,-4.696,0.02
-112.919,-4,0.02
-113.173,-3.173,0.02
-113.354,-2.646,0.02
-113.563,-2,0.02
-113.641,-1.641,0.02
-114,-0.204,0.02
-114.049,-0.049,0.02
-114.061,0,0.02
-114.072,0.072,0.02
-114.369,1.631,0.02
-114.419,2,0.02
-114.461,2.461,0.02
-114.525,3.475,0.02
-114.575,4,0.02
-114.605,4.605,0.02
-114.652,5.348,0.02
-114.683,6,0.02
-114.662,6.662,0.02
-114.615,7.385,0.02
-114.595,8,0.02
-114.566,8.566,0.02
