phi,psi,number
-69.862,180,0.02
-68.951,179.049,0.02
-68.646,178.646,0.02
-68.143,178,0.02
-68.07,177.93,0.02
-68,177.842,0.02
-67.105,176.895,0.02
-66.436,176,0.02
-66.215,175.785,0.02
-66,175.488,0.02
-65.284,174.716,0.02
-64.786,174,0.02
-64.384,173.616,0.02
-64,173.087,0.02
-63.452,172.548,0.02
-63.083,172,0.02
-62.54,171.46,0.02
-62,170.681,0.02
-61.653,170.347,0.02
-61.439,170,0.02
-60.775,169.225,0.02
-60.106,168.106,0.02
-60.037,168,0.02
-60.02,167.98,0.02
-60,167.943,0.02
-59.136,166.864,0.02
-58.643,166,0.02
-58.365,165.635,0.02
-58,164.957,0.02
-57.565,164.435,0.02
-57.332,164,0.02
-56.735,163.265,0.02
-56.019,162.019,0.02
-56.007,162,0.02
-56.004,161.996,0.02
-56,161.988,0.02
-55.129,160.871,0.02
-54.661,160,0.02
-54.413,159.587,0.02
-54,158.585,0.02
-53.765,158.235,0.02
-53.667,158,0.02
-53.166,157.166,0.02
-53.035,156.965,0.02
-52.587,156,0.02
-52.358,155.642,0.02
-52,154.778,0.02
-51.673,154.327,0.02
-51.523,154,0.02
-50.931,153.069,0.02
-50.832,152.832,0.02
-50.428,152,0.02
-50.266,151.734,0.02
-50,151.053,0.02
-49.587,150.413,0.02
-49.42,150,0.02
-48.848,149.152,0.02
-48.609,148.609,0.02
-48.299,148,0.02
-48.175,147.825,0.02
-48,147.434,0.02
-47.384,146.616,0.02
-47.098,146,0.02
-46.676,145.324,0.02
-46.197,144.197,0.02
-46.101,144,0.02
-46.061,143.939,0.02
-46,143.79,0.02
-45.25,142.75,0.02
-44.885,142,0.02
-44.536,141.464,0.02
-44,140.32,0.02
-43.852,140.148,0.02
-43.775,140,0.02
-43.335,139.335,0.02
-43.058,138.942,0.02
-42.579,138,0.02
-42.379,137.621,0.02
-42,136.64,0.02
-41.755,136.245,0.02
-41.653,136,0.02
-41.359,135.359,0.02
-41.12,134.88,0.02
-40.772,134,0.02
-40.583,133.417,0.02
-40.29,132.29,0.02
-40.205,132,0.02
-40.174,131.826,0.02
-40,130.721,0.02
-39.864,130.136,0.02
-39.838,130,0.02
-39.825,129.825,0.02
-39.732,128.268,0.02
-39.712,128,0.02
-39.733,127.733,0.02
-39.996,126.004,0.02
-39.997,126,0.02
-39.997,125.997,0.02
-40,125.99,0.02
-40.446,124.446,0.02
-40.685,124,0.02
-41.171,123.171,0.02
-42,122.173,0.02
-42.068,122.068,0.02
-42.14,122,0.02
-43.022,121.022,0.02
-44,120.242,0.02
-44.123,120.123,0.02
-44.316,120,0.02
-45.243,119.243,0.02
-46,118.776,0.02
-46.453,118.453,0.02
-47.456,118,0.02
-47.801,117.801,0.02
-48,117.722,0.02
-48.544,117.456,0.02
-49.135,117.135,0.02
-50,116.793,0.02
-50.559,116.559,0.02
-51.811,116.189,0.02
-52,116.122,0.02
-52.092,116.092,0.02
-52.423,116,0.02
-53.552,115.552,0.02
-54,115.409,0.02
-54.993,114.993,0.02
-55.017,114.983,0.02
-56,114.588,0.02
-56.404,114.404,0.02
-57.478,114,0.02
-57.825,113.825,0.02
-58,113.753,0.02
-58.516,113.484,0.02
-59.143,113.143,0.02
-60,112.735,0.02
-60.478,112.478,0.02
-61.539,112,0.02
-61.825,111.825,0.02
-62,111.731,0.02
-62.956,110.956,0.02
-63.355,110.645,0.02
-64,110.14,0.02
-64.066,110.066,0.02
-64.134,110,0.02
-64.856,109.144,0.02
-64.987,108.987,0.02
-65.916,108,0.02
-65.952,107.952,0.02
-66,107.903,0.02
-66.817,106.817,0.02
-67.537,106,0.02
-67.723,105.723,0.02
-68,105.388,0.02
-68.572,104.572,0.02
-69.032,104,0.02
-69.399,103.399,0.02
-70,102.462,0.02
-70.153,102.153,0.02
-70.237,102,0.02
-70.45,101.55,0.02
-70.792,100.792,0.02
-71.197,100,0.02
-71.43,99.43,0.02
-72,98.208,0.02
-72.057,98.057,0.02
-72.081,98,0.02
-72.127,97.873,0.02
-72.566,96.566,0.02
-72.788,96,0.02
-73.072,95.072,0.02
-73.138,94.862,0.02
-73.406,94,0.02
-73.513,93.513,0.02
-73.836,92.164,0.02
-73.874,92,0.02
-73.889,91.889,0.02
-74,91.091,0.02
-74.112,90.112,0.02
-74.124,90,0.02
-74.133,89.867,0.02
-74.257,88.257,0.02
-74.273,88,0.02
-74.286,87.714,0.02
-74.363,86.363,0.02
-74.38,86,0.02
-74.395,85.605,0.02
-74.448,84.448,0.02
-74.465,84,0.02
-74.481,83.519,0.02
-74.52,82.52,0.02
-74.537,82,0.02
-74.548,81.452,0.02
-74.575,80.575,0.02
-74.586,80,0.02
-74.584,79.416,0.02
-74.584,78.584,0.02
-74.582,78,0.02
-74.576,77.424,0.02
-74.564,76.564,0.02
-74.558,76,0.02
-74.556,75.444,0.02
-74.562,74.562,0.02
-74.561,74,0.02
-74.599,73.401,0.02
-74.653,72.653,0.02
-74.695,72,0.02
-74.809,71.191,0.02
-74.854,70.854,0.02
-74.978,70,0.02
-75.131,69.131,0.02
-75.201,68.799,0.02
-75.35,68,0.02
-75.46,67.46,0.02
-75.78,66.22,0.02
-75.829,66,0.02
-75.858,65.858,0.02
-76,65.373,0.02
-76.237,64.237,0.02
-76.3,64,0.02
-76.413,63.587,0.02
-76.629,62.629,0.02
-76.825,62,0.02
-77.096,61.096,0.02
-77.224,60.776,0.02
-77.495,60,0.02
-77.614,59.614,0.02
-78,58.732,0.02
-78.195,58.195,0.02
-78.297,58,0.02
-78.573,57.427,0.02
-78.826,56.826,0.02
-79.331,56,0.02
-79.55,55.55,0.02
-80,54.845,0.02
-80.34,54.34,0.02
-80.676,54,0.02
-81.267,53.267,0.02
-82,52.5,0.02
-82.28,52.28,0.02
-82.756,52,0.02
-83.468,51.468,0.02
-84,51.107,0.02
-84.822,50.822,0.02
-85.335,50.665,0.02
-86,50.448,0.02
-86.448,50.448,0.02
-87.574,50.426,0.02
-88,50.426,0.02
-88.62,50.62,0.02
-89.227,50.773,0.02
-90,51.063,0.02
-90.578,51.421,0.02
-91.296,52,0.02
-91.738,52.262,0.02
-92,52.491,0.02
-92.762,53.238,0.02
-93.348,54,0.02
-93.663,54.337,0.02
-94,54.884,0.02
-94.432,55.568,0.02
-94.645,56,0.02
-95.085,56.915,0.02
-95.176,57.176,0.02
-95.506,58,0.02
-95.628,58.372,0.02
-95.985,59.985,0.02
-95.989,60,0.02
-95.992,60.008,0.02
-96,60.059,0.02
-96.365,61.635,0.02
-96.44,62,0.02
-96.583,62.583,0.02
-96.761,63.239,0.02
-96.934,64,0.02
-97.153,64.847,0.02
-97.241,65.241,0.02
-97.427,66,0.02
-97.534,66.466,0.02
-97.806,67.806,0.02
-97.848,68,0.02
-97.871,68.129,0.02
-98,68.967,0.02
-98.187,69.813,0.02
-98.233,70,0.02
-98.285,70.285,0.02
-98.497,71.503,0.02
-98.59,72,0.02
-98.736,72.736,0.02
-98.819,73.181,0.02
-98.987,74,0.02
-99.178,74.822,0.02
-99.306,75.306,0.02
-99.476,76,0.02
-99.599,76.401,0.02
-100,77.572,0.02
-100.142,77.858,0.02
-100.223,78,0.02
-100.746,78.746,0.02
-100.955,79.045,0.02
-101.633,80,0.02
-101.796,80.204,0.02
-102,80.482,0.02
-102.701,81.299,0.02
-103.319,82,0.02
-103.663,82.337,0.02
-104,82.685,0.02
-104.73,83.27,0.02
-105.743,84,0.02
-105.901,84.099,0.02
-106,84.162,0.02
-106.233,84.233,0.02
-107.378,84.622,0.02
-108,84.791,0.02
-108.821,84.821,0.02
-109.156,84.844,0.02
-110,84.873,0.02
-110.785,84.785,0.02
-111.265,84.735,0.02
-112,84.653,0.02
-112.539,84.539,0.02
-113.729,84.271,0.02
-114,84.213,0.02
-114.175,84.175,0.02
-115.048,84,0.02
-115.832,83.832,0.02
-116,83.796,0.02
-116.25,83.75,0.02
-117.529,83.529,0.02
-118,83.441,0.02
-118.662,83.338,0.02
-119.258,83.258,0.02
-120,83.137,0.02
-120.956,82.956,0.02
-121.073,82.927,0.02
-122,82.733,0.02
-122.606,82.606,0.02
-123.765,82.235,0.02
-124,82.176,0.02
-124.155,82.155,0.02
-124.751,82,0.02
-125.7,81.7,0.02
-126,81.538,0.02
-126.639,81.361,0.02
-127.25,81.25,0.02
-128,80.98,0.02
-128.947,81.053,0.02
-129.07,81.07,0.02
-130,81.15,0.02
-130.581,81.419,0.02
-131.776,82,0.02
-131.937,82.063,0.02
-132,82.087,0.02
-132.134,82.134,0.02
-133.403,82.597,0.02
-134,82.804,0.02
-134.965,83.035,0.02
-135.056,83.056,0.02
-136,83.28,0.02
-136.596,83.404,0.02
-137.709,83.709,0.02
-138,83.777,0.02
-138.153,83.847,0.02
-138.434,84,0.02
-139.476,84.524,0.02
-140,84.863,0.02
-140.611,85.389,0.02
-141.22,86,0.02
-141.646,86.354,0.02
-142,86.705,0.02
-142.6,87.4,0.02
-143.065,88,0.02
-143.551,88.449,0.02
-144,88.889,0.02
-144.541,89.459,0.02
-145.062,90,0.02
-145.594,90.406,0.02
-146,90.693,0.02
-146.766,91.234,0.02
-147.863,92,0.02
-147.953,92.047,0.02
-148,92.072,0.02
-148.178,92.178,0.02
-149.223,92.777,0.02
-150,93.288,0.02
-150.418,93.582,0.02
-150.95,94,0.02
-151.571,94.429,0.02
-152,94.785,0.02
-152.645,95.355,0.02
-153.284,96,0.02
-153.636,96.364,0.02
-154,96.809,0.02
-154.539,97.461,0.02
-154.927,98,0.02
-155.339,98.661,0.02
-156,99.925,0.02
-156.026,99.974,0.02
-156.037,100,0.02
-156.057,100.057,0.02
-156.584,101.416,0.02
-156.773,102,0.02
-157.073,102.927,0.02
-157.123,103.123,0.02
-157.379,104,0.02
-157.532,104.468,0.02
-157.918,105.918,0.02
-157.942,106,0.02
-157.958,106.042,0.02
-158,106.192,0.02
-158.409,107.591,0.02
-158.517,108,0.02
-158.853,108.853,0.02
-158.939,109.061,0.02
-159.283,110,0.02
-159.51,110.49,0.02
-160,111.744,0.02
-160.074,111.926,0.02
-160.102,112,0.02
-160.165,112.165,0.02
-160.649,113.351,0.02
-160.875,114,0.02
-161.159,114.841,0.02
-161.288,115.288,0.02
-161.511,116,0.02
-161.627,116.373,0.02
-162,117.959,0.02
-162.008,117.992,0.02
-162.01,118,0.02
-162.015,118.015,0.02
-162.514,119.486,0.02
-162.667,120,0.02
-163.05,120.95,0.02
-163.098,121.098,0.02
-163.425,122,0.02
-163.605,122.395,0.02
-164,123.494,0.02
-164.154,123.846,0.02
-164.213,124,0.02
-164.379,124.379,0.02
-164.771,125.229,0.02
-165.082,126,0.02
-165.345,126.655,0.02
-165.648,127.648,0.02
-165.771,128,0.02
-165.837,128.163,0.02
-166,128.715,0.02
-166.335,129.665,0.02
-166.43,130,0.02
-166.699,130.699,0.02
-166.878,131.122,0.02
-167.179,132,0.02
-167.433,132.567,0.02
-167.847,133.847,0.02
-167.905,134,0.02
-167.932,134.068,0.02
-168,134.292,0.02
-168.467,135.533,0.02
-168.604,136,0.02
-168.913,136.913,0.02
-168.959,137.041,0.02
-169.262,138,0.02
-169.448,138.552,0.02
-169.789,139.789,0.02
-169.854,140,0.02
-169.891,140.109,0.02
-170,140.498,0.02
-170.396,141.604,0.02
-170.512,142,0.02
-170.797,142.797,0.02
-170.909,143.091,0.02
-171.21,144,0.02
-171.416,144.584,0.02
-171.722,145.722,0.02
-171.809,146,0.02
-171.851,146.149,0.02
-172,146.798,0.02
-172.283,147.717,0.02
-172.353,148,0.02
-172.493,148.493,0.02
-172.723,149.277,0.02
-172.923,150,0.02
-173.211,150.789,0.02
-173.406,151.406,0.02
-173.608,152,0.02
-173.729,152.271,0.02
-174,153.042,0.02
-174.309,153.691,0.02
-174.42,154,0.02
-174.753,154.753,0.02
-174.912,155.088,0.02
-175.272,156,0.02
-175.471,156.529,0.02
-175.841,157.841,0.02
-175.893,158,0.02
-175.916,158.084,0.02
-176,158.473,0.02
-176.346,159.654,0.02
-176.434,160,0.02
-176.623,160.623,0.02
-176.802,161.198,0.02
-177.038,162,0.02
-177.258,162.742,0.02
-177.443,163.443,0.02
-177.6,164,0.02
-177.67,164.33,0.02
-177.962,165.962,0.02
-177.97,166,0.02
-177.971,166.029,0.02
-178,166.773,0.02
-178.057,167.943,0.02
-178.059,168,0.02
-178.053,168.053,0.02
-178,168.399,0.02
-177.819,169.819,0.02
-177.786,170,0.02
-177.687,170.313,0.02
-177.393,171.393,0.02
-177.171,172,0.02
-176.848,172.848,0.02
-176.619,173.381,0.02
-176.366,174,0.02
-176.267,174.267,0.02
-176,174.91,0.02
-175.726,175.726,0.02
-175.609,176,0.02
-175.267,176.733,0.02
-175.106,177.106,0.02
-174.635,178,0.02
-174.418,178.418,0.02
-174,179.086,0.02
-173.679,179.679,0.02
-173.453,180,0.02
