phi,psi,number
81.167,120,0.001
81.642,119.642,0.001
82,119.425,0.001
82.637,118.637,0.001
83.031,118,0.001
83.376,117.376,0.001
84,116.433,0.001
84.153,116.153,0.001
84.206,116,0.001
84.337,115.663,0.001
84.714,114.714,0.001
84.984,114,0.001
85.14,113.14,0.001
85.195,112.805,0.001
85.337,112,0.001
85.373,111.373,0.001
85.402,110.598,0.001
85.435,110,0.001
85.396,109.396,0.001
85.342,108.658,0.001
85.301,108,0.001
85.156,107.156,0.001
85.104,106.896,0.001
84.961,106,0.001
84.738,105.262,0.001
84.498,104.498,0.001
84.345,104,0.001
84.249,103.751,0.001
84,103.292,0.001
83.537,102.463,0.001
83.305,102,0.001
82.898,101.102,0.001
82.777,100.777,0.001
82.461,100,0.001
82.336,99.664,0.001
82,99.046,0.001
81.614,98.386,0.001
81.427,98,0.001
81.189,97.189,0.001
81.094,96.906,0.001
80.858,96,0.001
80.702,95.298,0.001
80.569,94.569,0.001
80.451,94,0.001
80.403,93.597,0.001
80.303,92.303,0.001
80.269,92,0.001
80.263,91.737,0.001
80.263,90.263,0.001
80.256,90,0.001
80.258,89.742,0.001
80.342,88.342,0.001
80.344,88,0.001
80.346,87.654,0.001
80.42,86.42,0.001
80.423,86,0.001
80.412,85.588,0.001
80.418,84.418,0.001
80.408,84,0.001
80.376,83.624,0.001
80.242,82.242,0.001
80.221,82,0.001
80.189,81.811,0.001
80,80.991,0.001
79.858,80.142,0.001
79.84,80,0.001
79.805,79.805,0.001
79.55,78.45,0.001
79.472,78,0.001
79.345,77.345,0.001
79.233,76.767,0.001
79.084,76,0.001
78.938,75.062,0.001
78.91,74.91,0.001
78.76,74,0.001
78.646,73.354,0.001
78.406,72.406,0.001
78.324,72,0.001
78.26,71.74,0.001
78,71.089,0.001
77.777,70.223,0.001
77.716,70,0.001
77.609,69.609,0.001
77.387,68.613,0.001
77.197,68,0.001
76.975,67.025,0.001
76.955,66.955,0.001
76.715,66,0.001
76.605,65.395,0.001
76.339,64.339,0.001
76.269,64,0.001
76.225,63.775,0.001
76,62.974,0.001
75.875,62.125,0.001
75.864,62,0.001
75.866,61.866,0.001
75.819,60.181,0.001
75.82,60,0.001
75.831,59.831,0.001
75.88,58.12,0.001
75.887,58,0.001
75.895,57.895,0.001
76,56.345,0.001
76.043,56.043,0.001
76.047,56,0.001
76.052,55.948,0.001
76.306,54.306,0.001
76.333,54,0.001
76.375,53.625,0.001
76.52,52.52,0.001
76.575,52,0.001
76.722,51.278,0.001
76.832,50.832,0.001
76.984,50,0.001
77.304,49.304,0.001
77.542,48.458,0.001
77.707,48,0.001
77.809,47.809,0.001
78,47.399,0.001
78.626,46.626,0.001
78.891,46,0.001
79.328,45.328,0.001
79.699,44.301,0.001
79.836,44,0.001
79.893,43.893,0.001
80,43.625,0.001
80.679,42.679,0.001
80.938,42,0.001
81.299,41.298,0.001
81.491,40.509,0.001
81.674,40,0.001
81.762,39.762,0.001
82,39.062,0.001
82.425,38.425,0.001
82.579,38,0.001
82.93,37.07,0.001
82.975,36.975,0.001
83.248,36,0.001
83.436,35.436,0.001
83.668,34.332,0.001
83.76,34,0.001
83.809,33.809,0.001
84,33.047,0.001
84.368,32.368,0.001
84.489,32,0.001
84.737,31.263,0.001
84.887,30.887,0.001
85.135,30,0.001
85.399,29.399,0.001
85.694,28.306,0.001
85.8,28,0.001
85.852,27.852,0.001
86,27.36,0.001
86.489,26.489,0.001
86.649,26,0.001
86.945,25.055,0.001
86.975,24.975,0.001
87.232,24,0.001
87.431,23.431,0.001
87.711,22.289,0.001
87.797,22,0.001
87.845,21.845,0.001
88,21.223,0.001
88.374,20.374,0.001
88.475,20,0.001
88.645,19.355,0.001
88.822,18.822,0.001
89.001,18,0.001
89.224,17.224,0.001
89.3,16.7,0.001
89.461,16,0.001
89.587,15.587,0.001
89.923,14.077,0.001
89.944,14,0.001
89.956,13.956,0.001
90,13.765,0.001
90.525,12.525,0.001
90.657,12,0.001
90.961,11.039,0.001
90.984,10.984,0.001
91.218,10,0.001
91.457,9.457,0.001
91.706,8.294,0.001
91.8,8,0.001
91.86,7.86,0.001
92,7.453,0.001
92.617,6.617,0.001
92.851,6,0.001
93.261,5.261,0.001
93.449,4.551,0.001
93.659,4,0.001
93.767,3.767,0.001
94,3.233,0.001
94.58,2.58,0.001
94.837,2,0.001
95.241,1.241,0.001
95.47,0.53,0.001
95.684,0,0.001
95.777,-0.223,0.001
96,-0.786,0.001
96.514,-1.486,0.001
96.724,-2,0.001
97.071,-2.929,0.001
97.116,-3.116,0.001
97.387,-4,0.001
97.554,-4.446,0.001
98,-5.831,0.001
98.064,-5.936,0.001
98.086,-6,0.001
98.112,-6.112,0.001
98.523,-7.477,0.001
98.627,-8,0.001
98.73,-8.73,0.001
98.814,-9.186,0.001
98.918,-10,0.001
98.933,-10.933,0.001
98.934,-11.066,0.001
98.949,-12,0.001
98.884,-12.884,0.001
98.853,-13.147,0.001
98.784,-14,0.001
98.683,-14.683,0.001
98.496,-15.504,0.001
98.412,-16,0.001
98.327,-16.327,0.001
98,-17.03,0.001
97.772,-17.772,0.001
97.675,-18,0.001
97.451,-18.549,0.001
97.21,-19.21,0.001
96.837,-20,0.001
96.572,-20.572,0.001
96,-21.267,0.001
95.722,-21.722,0.001
95.484,-22,0.001
94.861,-22.861,0.001
94,-23.655,0.001
93.847,-23.847,0.001
93.659,-24,0.001
92.872,-24.872,0.001
92,-25.528,0.001
91.774,-25.774,0.001
91.47,-26,0.001
90.736,-26.736,0.001
90,-27.161,0.001
89.55,-27.55,0.001
88.931,-28,0.001
88.521,-28.521,0.001
88,-28.909,0.001
87.495,-29.495,0.001
87.002,-30,0.001
86.651,-30.651,0.001
86,-31.46,0.001
85.807,-31.807,0.001
85.7,-32,0.001
85.596,-32.404,0.001
85.338,-33.338,0.001
85.177,-34,0.001
85.131,-34.869,0.001
85.112,-35.112,0.001
85.067,-36,0.001
85.105,-36.895,0.001
85.103,-37.103,0.001
85.137,-38,0.001
85.237,-38.763,0.001
85.246,-39.246,0.001
85.327,-40,0.001
85.429,-40.571,0.001
85.496,-41.496,0.001
85.571,-42,0.001
85.64,-42.36,0.001
85.83,-43.83,0.001
85.859,-44,0.001
85.879,-44.121,0.001
86,-44.887,0.001
86.266,-45.734,0.001
86.311,-46,0.001
86.369,-46.369,0.001
86.598,-47.402,0.001
86.679,-48,0.001
86.761,-48.761,0.001
86.82,-49.18,0.001
86.902,-50,0.001
87.017,-50.983,0.001
87.019,-51.019,0.001
87.12,-52,0.001
87.146,-52.854,0.001
87.149,-53.149,0.001
87.174,-54,0.001
87.149,-54.851,0.001
87.143,-55.143,0.001
87.117,-56,0.001
87.022,-56.978,0.001
87.02,-57.02,0.001
86.915,-58,0.001
86.827,-58.827,0.001
86.758,-59.242,0.001
86.668,-60,0.001
86.564,-60.564,0.001
86.183,-61.817,0.001
86.141,-62,0.001
86.111,-62.111,0.001
86,-62.34,0.001
85.686,-63.686,0.001
85.609,-64,0.001
85.463,-64.537,0.001
85.33,-65.33,0.001
85.089,-66,0.001
84.843,-66.843,0.001
84.544,-67.456,0.001
84.328,-68,0.001
84.229,-68.229,0.001
84,-68.512,0.001
83.516,-69.516,0.001
83.19,-70,0.001
82.832,-70.832,0.001
82,-71.925,0.001
81.971,-71.971,0.001
81.947,-72,0.001
81.838,-72.162,0.001
81.194,-73.194,0.001
80.44,-74,0.001
80.273,-74.273,0.001
80,-74.499,0.001
79.221,-75.221,0.001
78.11,-76,0.001
78.062,-76.062,0.001
78,-76.104,0.001
77.707,-76.293,0.001
76.873,-76.873,0.001
76,-77.295,0.001
75.463,-77.463,0.001
74.109,-77.891,0.001
74,-77.925,0.001
73.933,-77.933,0.001
73.407,-78,0.001
72.214,-78.214,0.001
72,-78.238,0.001
71.788,-78.212,0.001
70.801,-78,0.001
70.108,-77.892,0.001
70,-77.87,0.001
69.79,-77.79,0.001
68.638,-77.362,0.001
68,-77.108,0.001
67.291,-76.709,0.001
66.514,-76,0.001
66.2,-75.8,0.001
66,-75.615,0.001
65.136,-74.864,0.001
64.471,-74,0.001
64.224,-73.776,0.001
64,-73.486,0.001
63.314,-72.686,0.001
63.003,-72,0.001
62.599,-71.401,0.001
62,-70.101,0.001
61.955,-70.045,0.001
61.937,-70,0.001
61.889,-69.889,0.001
61.268,-68.732,0.001
61.048,-68,0.001
60.757,-67.243,0.001
60.653,-66.653,0.001
60.468,-66,0.001
60.363,-65.637,0.001
60,-64.129,0.001
59.959,-64.041,0.001
59.948,-64,0.001
59.935,-63.935,0.001
59.557,-62.443,0.001
59.484,-62,0.001
59.408,-61.408,0.001
59.278,-60.722,0.001
59.198,-60,0.001
59.104,-59.104,0.001
59.077,-58.923,0.001
58.99,-58,0.001
58.914,-57.086,0.001
58.908,-56.908,0.001
58.839,-56,0.001
58.789,-55.211,0.001
58.781,-54.781,0.001
58.735,-54,0.001
58.687,-53.313,0.001
58.665,-52.665,0.001
58.621,-52,0.001
58.584,-51.416,0.001
58.546,-50.546,0.001
58.512,-50,0.001
58.472,-49.528,0.001
58.401,-48.401,0.001
58.368,-48,0.001
58.342,-47.658,0.001
58.195,-46.195,0.001
58.18,-46,0.001
58.172,-45.828,0.001
58.051,-44.051,0.001
58.049,-44,0.001
58.048,-43.952,0.001
58,-42.97,0.001
57.916,-42.084,0.001
57.91,-42,0.001
57.91,-41.91,0.001
57.935,-40.065,0.001
57.935,-40,0.001
57.942,-39.942,0.001
58,-39.612,0.001
58.137,-38.137,0.001
58.154,-38,0.001
58.183,-37.817,0.001
58.377,-36.377,0.001
58.44,-36,0.001
58.573,-35.427,0.001
58.683,-34.683,0.001
58.88,-34,0.001
59.097,-33.097,0.001
59.207,-32.793,0.001
59.439,-32,0.001
59.572,-31.572,0.001
60,-30.793,0.001
60.207,-30.207,0.001
60.301,-30,0.001
60.469,-29.531,0.001
60.718,-28.718,0.001
61.022,-28,0.001
61.245,-27.245,0.001
61.665,-26.335,0.001
61.793,-26,0.001
61.842,-25.842,0.001
62,-25.536,0.001
62.374,-24.374,0.001
62.508,-24,0.001
62.613,-23.387,0.001
62.721,-22.721,0.001
62.847,-22,0.001
62.878,-21.122,0.001
62.888,-20.888,0.001
62.919,-20,0.001
62.866,-19.134,0.001
62.857,-18.857,0.001
62.807,-18,0.001
62.656,-17.344,0.001
62.547,-16.547,0.001
62.439,-16,0.001
62.324,-15.676,0.001
62,-14.477,0.001
61.837,-14.163,0.001
61.791,-14,0.001
61.661,-13.661,0.001
61.243,-12.757,0.001
61.02,-12,0.001
60.67,-11.33,0.001
60.408,-10.408,0.001
60.252,-10,0.001
60.172,-9.828,0.001
60,-9.391,0.001
59.45,-8.55,0.001
59.257,-8,0.001
58.862,-7.138,0.001
58.8,-6.8,0.001
58.55,-6,0.001
58.382,-5.618,0.001
58,-4.524,0.001
57.78,-4.22,0.001
57.699,-4,0.001
57.416,-3.416,0.001
57.109,-2.891,0.001
56.819,-2,0.001
56.575,-1.425,0.001
56.363,-0.363,0.001
56.251,0,0.001
56.155,0.155,0.001
56,0.674,0.001
55.439,1.439,0.001
55.231,2,0.001
54.752,2.752,0.001
54.575,3.425,0.001
54.345,4,0.001
54.177,4.177,0.001
54,4.548,0.001
53.25,5.25,0.001
52.868,6,0.001
52.463,6.463,0.001
52,7.552,0.001
51.77,7.77,0.001
51.651,8,0.001
50.918,8.918,0.001
50.849,9.151,0.001
50.466,10,0.001
50.265,10.265,0.001
50,10.948,0.001
49.484,11.484,0.001
49.247,12,0.001
48.753,12.753,0.001
48.591,13.409,0.001
